ID,CuratorialText,persona2_adapted,word_count_original,word_count_adapted,error
CT0001,"In the early 1940s, decades into his artistic career, Henri Matisse (1869–1954) turned his focus to a new medium: cut paper. 

He had become bedridden and unable to paint following an excruciating abdominal surgery, and cut paper allowed him to continue to create in his relatively sedentary state. Encouraged by his friend, the book publisher Tériade (the pseudonym of Stratis Eleftheriades), Matisse furthered his exploration of this new technique. He mined his memories of Parisian music halls, the circus, trips to Tahiti, folktales, and mythology, and produced a series of 20 cut-paper maquettes.","In the early 1940s, many decades into his artistic career, Henri Matisse (1869–1954) turned his attention to a new medium: cut paper.

He had become bedridden and unable to paint after a very painful abdominal surgery. In this relatively sedentary state, cut paper allowed him to continue making art. Encouraged by his friend Tériade (the pseudonym of Stratis Eleftheriades), a book publisher, Matisse deepened his exploration of this new technique. He drew from his memories of Parisian music halls, the circus, trips to Tahiti, folktales, and mythology. From these sources, he created a series of 20 cut-paper maquettes.",93,98,
CT0002,"These vibrant original compositions were then faithfully reproduced using pochoir (stencil) and combined with an original text written by Matisse to form an unbound book, Jazz, that was published in 1947—when Matisse was 77 years old. Jazz caused an immediate international sensation and reinvigorated the aging artist, setting him on a new course of artistic discovery.","These vibrant original compositions were faithfully reproduced using pochoir (stencil). They were combined with an original text written by Matisse. Together, they formed an unbound book titled *Jazz*, published in 1947—when Matisse was 77 years old. *Jazz* caused an immediate international sensation. It reinvigorated the aging artist and set him on a new path of artistic discovery.",56,57,
CT0003,"Matisse’s extraordinary images of Jazz are not only captivating and provocative in their own right but also reflect a practice devoted to the exploration of color and line. Throughout the artist’s decades-long career, he pushed color from the purely visual to the nearly transcendental and progressively simplified his line to the most elemental. But until his cut-outs, his color and line existed separately, one modifying the other but never fully unified—at least not to Matisse’s own satisfaction.","Matisse’s extraordinary images of *Jazz* are not only captivating and provocative in themselves. They also reflect a practice devoted to the exploration of color and line. Throughout his career, which spanned several decades, the artist pushed color from the purely visual toward the nearly transcendental. He also progressively simplified his line to its most elemental form. However, until his cut-outs, his color and line existed separately. One modified the other, but they were never fully unified—at least not to Matisse’s own satisfaction.",77,82,
CT0004,"This exhibition marks the first time Matisse’s Jazz will be shown in its entirety at the Art Institute; the museum acquired it in 1948. One of the most important livres d’artiste (artist books) of the 20th century, Jazz joins over 50 works from the museum’s renowned collection of paintings, sculpture, drawings, prints, illustrated books, and textiles to showcase the famed artist’s commitment across his 50-year career to continual innovation and the expressive power of color and line.","This exhibition presents Matisse’s *Jazz* in its entirety for the first time at the Art Institute. The museum acquired the work in 1948. *Jazz* is one of the most important *livres d’artiste* (artist books) of the 20th century. It is shown together with more than 50 works from the museum’s renowned collection. These works include paintings, sculpture, drawings, prints, illustrated books, and textiles. Together, they demonstrate Matisse’s dedication, over his 50-year career, to constant innovation and the expressive power of color and line.",77,83,
CT0005,"From 6th-century gilt bronze Buddhist sculpture through Joseon dynasty painting and white porcelain and contemporary paintings of the late 20th century, the works of art in this exhibition demonstrate the artistic legacy produced on the Korean peninsula over millennia.","From gilt bronze Buddhist sculpture of the 6th century, to Joseon dynasty painting and white porcelain, to late 20th-century contemporary paintings, the works in this exhibition show the artistic legacy of the Korean peninsula over many centuries.",39,37,
CT0006,"Once privately held, these artworks now belong to the Korean people thanks to a single groundbreaking gift from the family of Lee Kun-Hee, late chairman of Samsung Group. In 2021 the family donated over 23,000 works to the Korean government for public audiences to study and appreciate in perpetuity. Lee Kun-Hee and his father, Lee Byung-Chull, collected exceptional and storied objects from throughout Korean history as a means of preserving and celebrating the nation’s cultural heritage. This exhibition marks the first time the works are on public display. ","Once privately owned, these artworks now belong to the Korean people. This is the result of a single, transformative gift from the family of Lee Kun-Hee, the late chairman of Samsung Group. In 2021, the family donated more than 23,000 works to the Korean government. The purpose was to allow the public to study and appreciate them forever. Lee Kun-Hee and his father, Lee Byung-Chull, collected exceptional and historically significant objects from throughout Korean history. They did this as a way to preserve and celebrate the nation’s cultural heritage. This exhibition is the first time these works are shown to the public.",88,102,
CT0007,"Among the 140 artworks on view—including modern and historical painting, ceramics, and objects made for Buddhist worship and scholarly study—22 are officially recognized as National Treasures or Treasures by the Korean government. These objects are recognized as remarkable examples of their type and distinguished for their exceptional historic, artistic, and academic value.","Among the 140 artworks on display—which include modern and historical paintings, ceramics, and objects made for Buddhist worship and scholarly study—22 are officially designated as National Treasures or Treasures by the Korean government. These works are recognized as outstanding examples of their type. They are distinguished for their exceptional historical, artistic, and academic value.",52,54,
CT0008,"The largest Art Institute exhibition devoted to Korean art in four decades, Korean National Treasures: 2,000 Years of Art charts the ideas, values, and traditions that have shaped the country’s creative production, from the Three Kingdoms period (57 BCE–676 CE) through the 1900s, offering insights into these objects’ rich meanings across centuries.","Korean National Treasures: 2,000 Years of Art is the largest exhibition at the Art Institute dedicated to Korean art in four decades. It traces the ideas, values, and traditions that have shaped Korea’s artistic production, from the Three Kingdoms period (57 BCE–676 CE) through the 1900s. The exhibition offers insights into the rich meanings of these objects across centuries.",52,59,
CT0009,"Epic and intricate, monumental and meticulous—the paintings of Kashmir-raised, London-based artist Raqib Shaw offer fantastical meditations on identity, transformation, and the redemptive power of beauty.","Epic and intricate, monumental and meticulous—the paintings of Raqib Shaw, an artist raised in Kashmir and based in London, offer fantastical meditations on identity, transformation, and the redemptive power of beauty.",25,31,
CT0010,"Born in Calcutta and raised in the verdant Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life, many of which were fractured by political upheaval. Forced to leave Kashmir as a teenager, he relocated first to New Delhi and later to London, where he studied at Central Saint Martins College of Art and Design. His work is influenced by a broad range of sources—Mughal and Persian miniatures, Renaissance altarpieces, Old Masters paintings, Japanese arts of the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology—and yet his visual vocabulary and technique are all his own. His signature method involves applying an acrylic liner on gesso to create a golden line almost like the leading of a stained glass window. He then applies automobile enamel paints with needle-fine syringes and manipulates those with a porcupine quill, often adding glittering inset stones and baubles that further enhance the magical and dreamlike quality of the depicted scenes. ","Born in Calcutta and raised in the verdant Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life. Many of these memories were fractured by political upheaval. Forced to leave Kashmir as a teenager, he relocated first to New Delhi and later to London. There, he studied at Central Saint Martins College of Art and Design. His work is influenced by a broad range of sources—Mughal and Persian miniatures, Renaissance altarpieces, Old Masters paintings, Japanese arts of the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology. Yet his visual vocabulary and technique are entirely his own. His signature method involves applying an acrylic liner on gesso to create a golden line, almost like the leading of a stained glass window. He then applies automobile enamel paints with needle-fine syringes and manipulates them with a porcupine quill. He often adds glittering inset stones and baubles, which further enhance the magical and dreamlike quality of the depicted scenes.",163,165,
