ID,ReferenceNumber,Museum,NameOfTheObject,PlaceOfOriginationMuseum,PlaceOfOrigination,Medium,Dimension,MuseumObjectType,TextType,CuratorialText,WordCountCuratorialText,URL,YearOfTheArtwork,NameCurator,NameOfTheArtist,Language,lexical_adapted,persona1_adapted,persona2_adapted,persona3_adapted,CuratorialText_hedging,CuratorialText_attribution,CuratorialText_art_terms,lexical_adapted_hedging,lexical_adapted_attribution,lexical_adapted_art_terms,persona1_adapted_hedging,persona1_adapted_attribution,persona1_adapted_art_terms,persona2_adapted_hedging,persona2_adapted_attribution,persona2_adapted_art_terms,persona3_adapted_hedging,persona3_adapted_attribution,persona3_adapted_art_terms,lexical_adapted_semantic_sim,lexical_adapted_entity_preservation,lexical_adapted_bertscore_f1,persona1_adapted_semantic_sim,persona1_adapted_entity_preservation,persona1_adapted_bertscore_f1,persona2_adapted_semantic_sim,persona2_adapted_entity_preservation,persona2_adapted_bertscore_f1,persona3_adapted_semantic_sim,persona3_adapted_entity_preservation,persona3_adapted_bertscore_f1
CT0001,,Art Institute Chicago,,The United States,France,,,,ExhibitionText,"In the early 1940s, decades into his artistic career, Henri Matisse (1869–1954) turned his focus to a new medium: cut paper. 

He had become bedridden and unable to paint following an excruciating abdominal surgery, and cut paper allowed him to continue to create in his relatively sedentary state. Encouraged by his friend, the book publisher Tériade (the pseudonym of Stratis Eleftheriades), Matisse furthered his exploration of this new technique. He mined his memories of Parisian music halls, the circus, trips to Tahiti, folktales, and mythology, and produced a series of 20 cut-paper maquettes.",93,https://www.artic.edu/exhibitions/10557/matisse-s-jazz-rhythms-in-color,"Mar 7–Jun 1, 2026",,Henri Jazz,English,"In the early 1940s, decades into his artistic career, Henri Matisse (1869–1954) turned his focus to a new medium: cut paper. 

He had become bedridden and unable to paint following a very painful stomach surgery, and cut paper allowed him to continue to create in his fairly inactive state. Encouraged by his friend, the book publisher Tériade (the pen name of Stratis Eleftheriades), Matisse continued his exploration of this new technique. He drew from his memories of Parisian music halls, the circus, trips to Tahiti, folktales, and mythology, and produced a series of 20 cut-paper models.","In the early 1940s, Henri Matisse (1869–1954) had been making art for decades. Then he turned his focus to a new material: cut paper.

After a painful stomach surgery, Matisse was stuck in bed and could no longer paint. But cut paper let him keep making art while resting. His friend Tériade, a book publisher, encouraged him to explore this new method. Matisse looked back on memories of Paris music halls, the circus, trips to Tahiti, folktales, and myths. From these ideas, he created 20 small models made from cut paper.","In the early 1940s, decades into his artistic career, Henri Matisse (1869–1954) turned his focus to a new medium: cut paper.

He had become bedridden and unable to paint after a very painful abdominal surgery. Cut paper allowed him to continue creating in his relatively inactive state. Encouraged by his friend, the book publisher Tériade (the pseudonym of Stratis Eleftheriades), Matisse explored this new technique further. He drew from his memories of Parisian music halls, the circus, trips to Tahiti, folktales, and mythology. He produced a series of 20 cut-paper maquettes.","In the early 1940s, after decades of working as an artist, Henri Matisse (1869–1954) began focusing on a new type of art: cut paper.

Following a painful abdominal surgery that left him confined to bed and unable to paint, Matisse turned to cutting shapes out of colored paper as a way to keep making art while staying relatively still. Encouraged by his friend Tériade (the pen name of Stratis Eleftheriades), a book publisher, Matisse pushed further into this new approach. He drew on memories of Parisian music halls, the circus, trips to Tahiti, folktales, and mythology, and created a series of 20 cut-paper models, or maquettes, which served as designs for a book.",0.0,0.0,1.0638297872340423,0.0,0.0,1.0309278350515465,1.0869565217391304,0.0,0.0,0.0,0.0,1.0869565217391304,0.0,0.0,0.0,0.9436900615692139,1.0,0.9851879,0.8768884539604187,0.7777777777777778,0.93367904,0.9932217597961426,1.0,0.9836478,0.9522866010665894,1.0,0.9477552
CT0002,,Art Institute Chicago,,The United States,France,,,,WallText,"These vibrant original compositions were then faithfully reproduced using pochoir (stencil) and combined with an original text written by Matisse to form an unbound book, Jazz, that was published in 1947—when Matisse was 77 years old. Jazz caused an immediate international sensation and reinvigorated the aging artist, setting him on a new course of artistic discovery.",57,https://www.artic.edu/exhibitions/10557/matisse-s-jazz-rhythms-in-color,,,Henri Jazz,English,"These bright original artworks were then carefully copied using stencil and combined with an original text written by Matisse to form an unbound book, Jazz, that was published in 1947—when Matisse was 77 years old. Jazz caused an immediate worldwide excitement and renewed the aging artist, setting him on a new path of artistic discovery.","These bright, original artworks were carefully copied using pochoir, a stencil printing method. They were paired with text written by Matisse himself. Together, they formed an unbound book called *Jazz*, published in 1947 when Matisse was 77. *Jazz* caused an instant stir around the world. It gave the aging artist new energy and set him on a fresh path of artistic discovery.","These vibrant original compositions were faithfully reproduced using pochoir (stencil) and combined with an original text written by Matisse. Together, they formed an unbound book titled *Jazz*, published in 1947, when Matisse was 77 years old. *Jazz* immediately caused an international sensation. It also reinvigorated the aging artist and set him on a new path of artistic discovery.","These lively, original designs were carefully recreated using pochoir—a technique that involves applying color through stencils—and paired with an original text written by Matisse to create an unbound book titled *Jazz*, published in 1947, when Matisse was 77 years old. *Jazz* caused an immediate stir around the world and revitalized the aging artist, setting him on a new path of creative exploration.",0.0,0.0,1.7543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7241379310344829,0.0,0.0,0.0,0.9038141369819641,1.0,0.9664632,0.8932297229766846,0.6666666666666666,0.9404195,0.9779534339904785,1.0,0.9722255,0.9291570782661438,1.0,0.9503601
CT0003,,Art Institute Chicago,,The United States,France,,,,WallText,"Matisse’s extraordinary images of Jazz are not only captivating and provocative in their own right but also reflect a practice devoted to the exploration of color and line. Throughout the artist’s decades-long career, he pushed color from the purely visual to the nearly transcendental and progressively simplified his line to the most elemental. But until his cut-outs, his color and line existed separately, one modifying the other but never fully unified—at least not to Matisse’s own satisfaction.",77,https://www.artic.edu/exhibitions/10557/matisse-s-jazz-rhythms-in-color,,,Henri Jazz,English,"Matisse’s amazing images of Jazz are not only captivating and thought-provoking in their own right but also reflect a practice devoted to the exploration of color and line. Throughout the artist’s decades-long career, he pushed color from the purely visual to the nearly spiritual and progressively simplified his line to the most basic. But until his cut-outs, his color and line existed separately, one modifying the other but never fully unified—at least not to Matisse’s own satisfaction.","Matisse’s images in *Jazz* are striking and thought-provoking. They also show his lifelong focus on color and line. Over many decades, he pushed color beyond what we see, making it feel almost spiritual. He also simplified his line drawings to their most basic form. But before his cut-outs, color and line stayed separate. Each one changed the other, but they never fully came together—at least not in a way that satisfied Matisse.","Matisse’s extraordinary images of *Jazz* are not only captivating and provocative in their own right. They also reflect a practice devoted to the exploration of color and line. Throughout the artist’s decades-long career, he pushed color from the purely visual to the nearly transcendental. He also progressively simplified his line to the most elemental. But until his cut-outs, his color and line existed separately. One modified the other, but they were never fully unified—at least not to Matisse’s own satisfaction.","Matisse’s remarkable images in *Jazz* are not only striking and thought-provoking in their own right but also reveal a lifelong commitment to experimenting with color and line. Over the course of his decades-long career, he moved color beyond what is simply seen toward something almost spiritual, while gradually reducing his line work to its most basic form. However, until he began making his cut-outs, color and line remained separate in his art—each influencing the other but never fully coming together, at least not in a way that satisfied Matisse himself.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9887475371360779,1.0,0.9862699,0.9459254741668701,0.3333333333333333,0.9181688,0.9893814325332642,1.0,0.97881854,0.9490780830383301,0.6666666666666666,0.9377367
CT0004,,Art Institute Chicago,,The United States,France,,,,WallText,"This exhibition marks the first time Matisse’s Jazz will be shown in its entirety at the Art Institute; the museum acquired it in 1948. One of the most important livres d’artiste (artist books) of the 20th century, Jazz joins over 50 works from the museum’s renowned collection of paintings, sculpture, drawings, prints, illustrated books, and textiles to showcase the famed artist’s commitment across his 50-year career to continual innovation and the expressive power of color and line.",77,https://www.artic.edu/exhibitions/10557/matisse-s-jazz-rhythms-in-color,,,Henri Jazz,English,"This exhibition marks the first time Matisse’s Jazz will be shown in its entirety at the Art Institute; the museum acquired it in 1948. One of the most important artist books of the 20th century, Jazz joins over 50 works from the museum’s famous collection of paintings, sculpture, drawings, prints, illustrated books, and textiles to show the famed artist’s commitment across his 50-year career to constant new ideas and the expressive power of color and line.","This exhibition is the first time Matisse’s *Jazz* will be shown in full at the Art Institute. The museum bought it in 1948. *Jazz* is one of the most important artist books of the 1900s. An artist book is a work of art made in book form. The show also includes over 50 other works from the museum’s collection. These include paintings, sculptures, drawings, prints, illustrated books, and textiles. Together, they show how Matisse, over his 50-year career, always tried new things. They also highlight his powerful use of color and line.","This exhibition presents Matisse’s *Jazz* in its entirety at the Art Institute for the first time. The museum acquired the work in 1948. *Jazz* is one of the most important *livres d’artiste* (artist books) of the 20th century. It is shown alongside more than 50 works from the museum’s renowned collection, including paintings, sculpture, drawings, prints, illustrated books, and textiles. Together, these works demonstrate the artist’s dedication, over his 50-year career, to constant innovation and to the expressive power of color and line.","This exhibition marks the first time Matisse’s *Jazz* will be shown in its entirety at the Art Institute; the museum acquired it in 1948. One of the most important artist books (a type of book created as a work of art, often with original prints) of the 20th century, *Jazz* joins over 50 works from the museum’s renowned collection of paintings, sculpture, drawings, prints, illustrated books, and textiles. Together, they highlight the famed artist’s lifelong commitment—over a 50-year career—to constant innovation and the expressive power of color and line.",0.0,0.0,1.2345679012345678,0.0,0.0,1.2658227848101269,0.0,0.0,1.0638297872340423,0.0,0.0,1.1494252873563218,0.0,0.0,1.0638297872340423,0.9398190379142761,1.0,0.9805065,0.8866071701049805,0.5,0.93376076,0.9807001352310181,0.625,0.9584195,0.9281543493270874,0.875,0.960836
CT0005,,Art Institute Chicago,,The United States,Korea,,,,SectionText,"From 6th-century gilt bronze Buddhist sculpture through Joseon dynasty painting and white porcelain and contemporary paintings of the late 20th century, the works of art in this exhibition demonstrate the artistic legacy produced on the Korean peninsula over millennia.",39,https://www.artic.edu/exhibitions/10209/korean-national-treasures-2-000-years-of-art,,,,English,"From 6th-century gold-covered bronze Buddhist sculpture through Joseon dynasty painting and white porcelain and contemporary paintings of the late 20th century, the works of art in this exhibition show the artistic legacy made on the Korean peninsula over thousands of years.","This exhibition shows art from the Korean peninsula over many centuries. You will see gilt bronze Buddhist sculptures from the 500s. Gilt bronze is a metal coated with a thin layer of gold. The display also includes paintings and white porcelain from the Joseon dynasty. Finally, you can explore paintings from the late 1900s. Together, these works reveal Korea's long artistic legacy.","Spanning from 6th-century gilt bronze Buddhist sculpture to Joseon dynasty painting and white porcelain, and continuing to late 20th-century contemporary paintings, the works in this exhibition show the artistic legacy created on the Korean peninsula over thousands of years.","From 6th-century Buddhist sculptures covered in gold leaf, to paintings and pure white porcelain from the Joseon dynasty, to artworks from the late 20th century, the pieces in this exhibition reveal the artistic traditions that have flourished on the Korean peninsula for over a thousand years.",0.0,0.0,2.564102564102564,0.0,0.0,2.4390243902439024,0.0,0.0,1.5873015873015872,0.0,0.0,2.564102564102564,0.0,0.0,2.1739130434782608,0.9664057493209839,1.0,0.98369795,0.8887792825698853,0.4,0.90966773,0.9882045388221741,0.8,0.9660281,0.9122068881988525,0.8,0.9453421
CT0006,,Art Institute Chicago,,The United States,Korea,,,,ExhibitionText,"Once privately held, these artworks now belong to the Korean people thanks to a single groundbreaking gift from the family of Lee Kun-Hee, late chairman of Samsung Group. In 2021 the family donated over 23,000 works to the Korean government for public audiences to study and appreciate in perpetuity. Lee Kun-Hee and his father, Lee Byung-Chull, collected exceptional and storied objects from throughout Korean history as a means of preserving and celebrating the nation’s cultural heritage. This exhibition marks the first time the works are on public display. ",88,https://www.artic.edu/exhibitions/10209/korean-national-treasures-2-000-years-of-art,"Mar 7–Jul 5, 2026",,,English,"Once privately owned, these artworks now belong to the Korean people thanks to a single historic gift from the family of Lee Kun-Hee, late chairman of Samsung Group. In 2021 the family gave over 23,000 works to the Korean government for public audiences to study and enjoy forever. Lee Kun-Hee and his father, Lee Byung-Chull, collected outstanding and famous objects from throughout Korean history as a way of preserving and celebrating the nation’s cultural heritage. This exhibition marks the first time the works are on public display.","These artworks were once owned by a private family. Now they belong to the people of Korea. That’s because of a single, historic gift from the family of Lee Kun-Hee, the late chairman of Samsung Group. In 2021, the family donated over 23,000 works to the Korean government. The public can now study and enjoy them forever. Lee Kun-Hee and his father, Lee Byung-Chull, collected rare and important objects from throughout Korean history. They wanted to preserve and celebrate the nation’s cultural heritage. This exhibition is the first time the works are on public display.","Once held in a private collection, these artworks now belong to the Korean people. This is the result of a single, transformative gift from the family of Lee Kun-Hee, the late chairman of Samsung Group. In 2021, the family donated more than 23,000 works to the Korean government. The works are now available for public study and appreciation in perpetuity. Lee Kun-Hee and his father, Lee Byung-Chull, collected exceptional and historically significant objects from throughout Korean history. Their goal was to preserve and celebrate the nation’s cultural heritage. This exhibition marks the first time these works are shown to the public.","Once held in a private collection, these artworks now belong to the people of Korea, thanks to a single, extraordinary donation from the family of Lee Kun-Hee, the late chairman of Samsung Group. In 2021, the family gave over 23,000 works to the Korean government so that the public could study and appreciate them forever. Lee Kun-Hee and his father, Lee Byung-Chull, collected exceptional and historically significant objects from across Korean history, as a way to preserve and celebrate the nation’s cultural heritage. This exhibition marks the first time these works have been shown to the public.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0101010101010102,0.0,0.0,0.9836110472679138,1.0,0.9867111,0.9746628403663635,1.0,0.9685815,0.9877077341079712,0.8571428571428571,0.9723209,0.988475501537323,1.0,0.97444683
CT0007,,Art Institute Chicago,,The United States,Korea,,,,SectionText,"Among the 140 artworks on view—including modern and historical painting, ceramics, and objects made for Buddhist worship and scholarly study—22 are officially recognized as National Treasures or Treasures by the Korean government. These objects are recognized as remarkable examples of their type and distinguished for their exceptional historic, artistic, and academic value.",54,https://www.artic.edu/exhibitions/10209/korean-national-treasures-2-000-years-of-art,,,,English,"Among the 140 artworks on display—including modern and historical painting, ceramics, and objects made for Buddhist worship and scholarly study—22 are officially recognized as National Treasures or Treasures by the Korean government. These objects are recognized as outstanding examples of their type and noted for their exceptional historic, artistic, and academic value.","This exhibition has 140 artworks. They include modern and historical paintings, ceramics, and objects made for Buddhist worship and scholarly study. Of these, 22 are officially called National Treasures or Treasures by the Korean government. These objects are seen as outstanding examples of their kind. They are valued for their great historical, artistic, and academic importance.","Of the 140 artworks on display—including modern and historical paintings, ceramics, and objects made for Buddhist worship and scholarly study—22 are officially designated as National Treasures or Treasures by the Korean government. These works are recognized as outstanding examples of their type and are noted for their exceptional historical, artistic, and academic value.","Of the 140 artworks displayed—spanning modern and historical paintings, ceramics, and objects created for Buddhist rituals and scholarly pursuits—22 are officially designated as National Treasures or Treasures by the Korean government. These pieces are acknowledged as outstanding examples of their kind and are noted for their exceptional historical, artistic, and scholarly significance.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9951436519622803,1.0,0.9947748,0.9505600929260254,0.6666666666666666,0.9675683,0.9855883717536926,1.0,0.98724717,0.9798172116279602,0.8333333333333334,0.97479314
CT0008,,Art Institute Chicago,,The United States,Korea,,,,SectionText,"The largest Art Institute exhibition devoted to Korean art in four decades, Korean National Treasures: 2,000 Years of Art charts the ideas, values, and traditions that have shaped the country’s creative production, from the Three Kingdoms period (57 BCE–676 CE) through the 1900s, offering insights into these objects’ rich meanings across centuries.",52,https://www.artic.edu/exhibitions/10209/korean-national-treasures-2-000-years-of-art,,,,English,"The largest Art Institute exhibition focused on Korean art in four decades, Korean National Treasures: 2,000 Years of Art shows the ideas, values, and traditions that have shaped the country’s creative work, from the Three Kingdoms period (57 BCE–676 CE) through the 1900s, giving insights into these objects’ rich meanings across centuries.","This exhibition is the largest show of Korean art at the Art Institute in forty years. It is called *Korean National Treasures: 2,000 Years of Art*. The show explores the ideas, values, and traditions that have shaped Korean art. It covers art from the Three Kingdoms period (57 BCE–676 CE) all the way to the 1900s. The objects on display reveal their deep meanings across many centuries.","The largest Art Institute exhibition dedicated to Korean art in forty years, *Korean National Treasures: 2,000 Years of Art*, traces the ideas, values, and traditions that have shaped the country’s artistic output. The exhibition covers works from the Three Kingdoms period (57 BCE–676 CE) through the 1900s. It offers insights into the rich meanings of these objects across centuries.","The largest exhibition of Korean art at the Art Institute in forty years, *Korean National Treasures: 2,000 Years of Art*, traces the ideas, values, and traditions that have shaped the country’s artistic output—from the Three Kingdoms period (57 BCE–676 CE) through the 1900s. It offers a window into the deep and evolving meanings these objects have carried over the centuries.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9955905675888062,1.0,0.9935144,0.9412549138069153,0.5,0.9476675,0.9761241674423218,0.875,0.9700309,0.9830367565155029,0.625,0.9625563
CT0009,,Art Institute Chicago,,The United States,India,,,,SectionText,"Epic and intricate, monumental and meticulous—the paintings of Kashmir-raised, London-based artist Raqib Shaw offer fantastical meditations on identity, transformation, and the redemptive power of beauty.",26,https://www.artic.edu/exhibitions/10569/raqib-shaw-paradise-lost,,,Raqib Shaw,English,"Epic and complex, huge and detailed—the paintings of Kashmir-raised, London-based artist Raqib Shaw offer fantastical thoughts on identity, change, and the healing power of beauty.","Artist Raqib Shaw grew up in Kashmir and now lives in London. His paintings are both huge and full of tiny details. They explore big ideas about identity, change, and how beauty can heal.","Epic and intricate, monumental and meticulous—the paintings of Raqib Shaw, who was raised in Kashmir and is now based in London, offer fantastical meditations on identity, transformation, and the redemptive power of beauty.","Epic and intricate, monumental and meticulous—the paintings of Kashmir-raised, London-based artist Raqib Shaw offer fantastical reflections on identity, change, and the healing power of beauty.",0.0,0.0,3.8461538461538463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.941176470588235,0.0,0.0,3.8461538461538463,0.9791593551635742,1.0,0.9783298,0.9067049026489258,1.0,0.91636103,0.9765424728393555,1.0,0.9755532,0.9864678978919983,1.0,0.9886682
CT0010,,Art Institute Chicago,,The United States,India,,,,ExhibitionText,"Born in Calcutta and raised in the verdant Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life, many of which were fractured by political upheaval. Forced to leave Kashmir as a teenager, he relocated first to New Delhi and later to London, where he studied at Central Saint Martins College of Art and Design. His work is influenced by a broad range of sources—Mughal and Persian miniatures, Renaissance altarpieces, Old Masters paintings, Japanese arts of the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology—and yet his visual vocabulary and technique are all his own. His signature method involves applying an acrylic liner on gesso to create a golden line almost like the leading of a stained glass window. He then applies automobile enamel paints with needle-fine syringes and manipulates those with a porcupine quill, often adding glittering inset stones and baubles that further enhance the magical and dreamlike quality of the depicted scenes. ",165,https://www.artic.edu/exhibitions/10569/raqib-shaw-paradise-lost,"Jun 7, 2025–Nov 15, 2026",,Raqib Shaw,English,"Born in Calcutta and raised in the green Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life, many of which were broken by political unrest. Forced to leave Kashmir as a teenager, he moved first to New Delhi and later to London, where he studied at Central Saint Martins College of Art and Design. His work is influenced by a wide range of sources—Mughal and Persian miniatures, Renaissance altarpieces, Old Masters paintings, Japanese arts of the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology—and yet his visual language and technique are all his own. His signature method involves applying an acrylic liner on gesso to create a golden line almost like the leading of a stained glass window. He then applies automobile enamel paints with needle-fine syringes and moves those with a porcupine quill, often adding shiny inset stones and small decorations that further improve the magical and dreamlike quality of the shown scenes.","Shaw was born in Calcutta and grew up in the green Himalayan mountains of Kashmir. The landscapes and memories of his early life deeply influence his work. Many of those memories were broken apart by political conflict. When he was a teenager, he had to leave Kashmir. He moved first to New Delhi and later to London. There, he studied at Central Saint Martins College of Art and Design.

His work is inspired by many different sources. These include Mughal and Persian miniature paintings, Renaissance altarpieces, Old Masters, Japanese art from the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology. Even so, his own style and techniques are unique.

Shaw’s signature method starts with a layer of gesso, a type of primer. On top of that, he uses an acrylic liner to create a golden line, similar to the lead in a stained glass window. Then he applies car enamel paint using very thin syringes. He moves the paint around with a porcupine quill. Often, he adds shiny stones and small decorations. These details make his scenes feel magical and dreamlike.","Born in Calcutta and raised in the lush Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life. Many of these memories were fractured by political upheaval. Forced to leave Kashmir as a teenager, he moved first to New Delhi and later to London. There, he studied at Central Saint Martins College of Art and Design. His work is influenced by a wide range of sources—Mughal and Persian miniatures, Renaissance altarpieces, Old Masters paintings, Japanese arts of the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology. Yet his visual vocabulary and technique are entirely his own. His signature method involves applying an acrylic liner on gesso to create a golden line, almost like the leading of a stained glass window. He then applies automobile enamel paints using needle-fine syringes and manipulates them with a porcupine quill. He often adds glittering inset stones and baubles, which further enhance the magical and dreamlike quality of the depicted scenes.","Born in Calcutta and raised in the lush Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life—many of which were disrupted by political turmoil. Forced to leave Kashmir as a teenager, he moved first to New Delhi and later to London, where he studied at Central Saint Martins College of Art and Design. His work is influenced by a wide range of sources: miniature paintings from the Mughal and Persian empires, religious panel paintings from the Renaissance, works by European masters from earlier centuries, Japanese art from the Momoyama period, poetry from Kashmir and Urdu traditions, and myths from both Hindu and Western cultures. Yet his visual style and techniques are entirely his own. His signature method involves applying an acrylic liner onto a prepared surface of gesso (a white, chalky primer) to create a golden line, similar to the metal framework in a stained glass window. He then applies automobile enamel paints using syringes with needle-fine tips, manipulating the paint with a porcupine quill. He often adds glittering inset stones and small ornaments, which further enhance the magical, dreamlike quality of the scenes he depicts.",0.0,0.0,1.2121212121212122,0.0,0.0,1.2048192771084338,0.0,0.0,1.0810810810810811,0.0,0.0,1.2048192771084338,0.0,0.0,1.0309278350515465,0.9890624284744263,1.0,0.9864743,0.9148876667022705,1.0,0.9417821,0.9932307600975037,1.0,0.98811984,0.9436856508255005,0.8666666666666667,0.9553468
