ID,CuratorialText,persona1_adapted,word_count_original,word_count_adapted,error
CT0001,"In the early 1940s, decades into his artistic career, Henri Matisse (1869–1954) turned his focus to a new medium: cut paper. 

He had become bedridden and unable to paint following an excruciating abdominal surgery, and cut paper allowed him to continue to create in his relatively sedentary state. Encouraged by his friend, the book publisher Tériade (the pseudonym of Stratis Eleftheriades), Matisse furthered his exploration of this new technique. He mined his memories of Parisian music halls, the circus, trips to Tahiti, folktales, and mythology, and produced a series of 20 cut-paper maquettes.","In the early 1940s, Henri Matisse (1869–1954) had been making art for decades. Then he turned his focus to a new material: cut paper.

After a painful stomach surgery, Matisse was stuck in bed and could no longer paint. But cut paper let him keep making art while resting. His friend Tériade, a book publisher, encouraged him to explore this new method. Matisse looked back on memories of Paris music halls, the circus, trips to Tahiti, folktales, and myths. From these ideas, he created 20 small models made from cut paper.",93,91,
CT0002,"These vibrant original compositions were then faithfully reproduced using pochoir (stencil) and combined with an original text written by Matisse to form an unbound book, Jazz, that was published in 1947—when Matisse was 77 years old. Jazz caused an immediate international sensation and reinvigorated the aging artist, setting him on a new course of artistic discovery.","These bright, original artworks were carefully copied using pochoir, a stencil printing method. They were paired with text written by Matisse himself. Together, they formed an unbound book called *Jazz*, published in 1947 when Matisse was 77. *Jazz* caused an instant stir around the world. It gave the aging artist new energy and set him on a fresh path of artistic discovery.",56,62,
CT0003,"Matisse’s extraordinary images of Jazz are not only captivating and provocative in their own right but also reflect a practice devoted to the exploration of color and line. Throughout the artist’s decades-long career, he pushed color from the purely visual to the nearly transcendental and progressively simplified his line to the most elemental. But until his cut-outs, his color and line existed separately, one modifying the other but never fully unified—at least not to Matisse’s own satisfaction.","Matisse’s images in *Jazz* are striking and thought-provoking. They also show his lifelong focus on color and line. Over many decades, he pushed color beyond what we see, making it feel almost spiritual. He also simplified his line drawings to their most basic form. But before his cut-outs, color and line stayed separate. Each one changed the other, but they never fully came together—at least not in a way that satisfied Matisse.",77,72,
CT0004,"This exhibition marks the first time Matisse’s Jazz will be shown in its entirety at the Art Institute; the museum acquired it in 1948. One of the most important livres d’artiste (artist books) of the 20th century, Jazz joins over 50 works from the museum’s renowned collection of paintings, sculpture, drawings, prints, illustrated books, and textiles to showcase the famed artist’s commitment across his 50-year career to continual innovation and the expressive power of color and line.","This exhibition is the first time Matisse’s *Jazz* will be shown in full at the Art Institute. The museum bought it in 1948. *Jazz* is one of the most important artist books of the 1900s. An artist book is a work of art made in book form. The show also includes over 50 other works from the museum’s collection. These include paintings, sculptures, drawings, prints, illustrated books, and textiles. Together, they show how Matisse, over his 50-year career, always tried new things. They also highlight his powerful use of color and line.",77,92,
CT0005,"From 6th-century gilt bronze Buddhist sculpture through Joseon dynasty painting and white porcelain and contemporary paintings of the late 20th century, the works of art in this exhibition demonstrate the artistic legacy produced on the Korean peninsula over millennia.","This exhibition shows art from the Korean peninsula over many centuries. You will see gilt bronze Buddhist sculptures from the 500s. Gilt bronze is a metal coated with a thin layer of gold. The display also includes paintings and white porcelain from the Joseon dynasty. Finally, you can explore paintings from the late 1900s. Together, these works reveal Korea's long artistic legacy.",39,62,
CT0006,"Once privately held, these artworks now belong to the Korean people thanks to a single groundbreaking gift from the family of Lee Kun-Hee, late chairman of Samsung Group. In 2021 the family donated over 23,000 works to the Korean government for public audiences to study and appreciate in perpetuity. Lee Kun-Hee and his father, Lee Byung-Chull, collected exceptional and storied objects from throughout Korean history as a means of preserving and celebrating the nation’s cultural heritage. This exhibition marks the first time the works are on public display. ","These artworks were once owned by a private family. Now they belong to the people of Korea. That’s because of a single, historic gift from the family of Lee Kun-Hee, the late chairman of Samsung Group. In 2021, the family donated over 23,000 works to the Korean government. The public can now study and enjoy them forever. Lee Kun-Hee and his father, Lee Byung-Chull, collected rare and important objects from throughout Korean history. They wanted to preserve and celebrate the nation’s cultural heritage. This exhibition is the first time the works are on public display.",88,95,
CT0007,"Among the 140 artworks on view—including modern and historical painting, ceramics, and objects made for Buddhist worship and scholarly study—22 are officially recognized as National Treasures or Treasures by the Korean government. These objects are recognized as remarkable examples of their type and distinguished for their exceptional historic, artistic, and academic value.","This exhibition has 140 artworks. They include modern and historical paintings, ceramics, and objects made for Buddhist worship and scholarly study. Of these, 22 are officially called National Treasures or Treasures by the Korean government. These objects are seen as outstanding examples of their kind. They are valued for their great historical, artistic, and academic importance.",52,56,
CT0008,"The largest Art Institute exhibition devoted to Korean art in four decades, Korean National Treasures: 2,000 Years of Art charts the ideas, values, and traditions that have shaped the country’s creative production, from the Three Kingdoms period (57 BCE–676 CE) through the 1900s, offering insights into these objects’ rich meanings across centuries.","This exhibition is the largest show of Korean art at the Art Institute in forty years. It is called *Korean National Treasures: 2,000 Years of Art*. The show explores the ideas, values, and traditions that have shaped Korean art. It covers art from the Three Kingdoms period (57 BCE–676 CE) all the way to the 1900s. The objects on display reveal their deep meanings across many centuries.",52,67,
CT0009,"Epic and intricate, monumental and meticulous—the paintings of Kashmir-raised, London-based artist Raqib Shaw offer fantastical meditations on identity, transformation, and the redemptive power of beauty.","Artist Raqib Shaw grew up in Kashmir and now lives in London. His paintings are both huge and full of tiny details. They explore big ideas about identity, change, and how beauty can heal.",25,34,
CT0010,"Born in Calcutta and raised in the verdant Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life, many of which were fractured by political upheaval. Forced to leave Kashmir as a teenager, he relocated first to New Delhi and later to London, where he studied at Central Saint Martins College of Art and Design. His work is influenced by a broad range of sources—Mughal and Persian miniatures, Renaissance altarpieces, Old Masters paintings, Japanese arts of the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology—and yet his visual vocabulary and technique are all his own. His signature method involves applying an acrylic liner on gesso to create a golden line almost like the leading of a stained glass window. He then applies automobile enamel paints with needle-fine syringes and manipulates those with a porcupine quill, often adding glittering inset stones and baubles that further enhance the magical and dreamlike quality of the depicted scenes. ","Shaw was born in Calcutta and grew up in the green Himalayan mountains of Kashmir. The landscapes and memories of his early life deeply influence his work. Many of those memories were broken apart by political conflict. When he was a teenager, he had to leave Kashmir. He moved first to New Delhi and later to London. There, he studied at Central Saint Martins College of Art and Design.

His work is inspired by many different sources. These include Mughal and Persian miniature paintings, Renaissance altarpieces, Old Masters, Japanese art from the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology. Even so, his own style and techniques are unique.

Shaw’s signature method starts with a layer of gesso, a type of primer. On top of that, he uses an acrylic liner to create a golden line, similar to the lead in a stained glass window. Then he applies car enamel paint using very thin syringes. He moves the paint around with a porcupine quill. Often, he adds shiny stones and small decorations. These details make his scenes feel magical and dreamlike.",163,184,
