ID,ReferenceNumber,Museum,NameOfTheObject,PlaceOfOriginationMuseum,PlaceOfOrigination,Medium,Dimension,MuseumObjectType,TextType,CuratorialText_x,WordCountCuratorialText,URL,YearOfTheArtwork,NameCurator,NameOfTheArtist,Language,CuratorialText_y,persona1_adapted,persona2_adapted,persona3_adapted
CT0001,,Art Institute Chicago,,The United States,France,,,,ExhibitionText,"In the early 1940s, decades into his artistic career, Henri Matisse (1869–1954) turned his focus to a new medium: cut paper. 

He had become bedridden and unable to paint following an excruciating abdominal surgery, and cut paper allowed him to continue to create in his relatively sedentary state. Encouraged by his friend, the book publisher Tériade (the pseudonym of Stratis Eleftheriades), Matisse furthered his exploration of this new technique. He mined his memories of Parisian music halls, the circus, trips to Tahiti, folktales, and mythology, and produced a series of 20 cut-paper maquettes.",93,https://www.artic.edu/exhibitions/10557/matisse-s-jazz-rhythms-in-color,"Mar 7–Jun 1, 2026",,Henri Jazz,English,"In the early 1940s, decades into his artistic career, Henri Matisse (1869–1954) turned his focus to a new medium: cut paper. 

He had become bedridden and unable to paint following an excruciating abdominal surgery, and cut paper allowed him to continue to create in his relatively sedentary state. Encouraged by his friend, the book publisher Tériade (the pseudonym of Stratis Eleftheriades), Matisse furthered his exploration of this new technique. He mined his memories of Parisian music halls, the circus, trips to Tahiti, folktales, and mythology, and produced a series of 20 cut-paper maquettes.","In the early 1940s, Henri Matisse (1869–1954) had already been making art for decades. Then he turned to something new: cut paper.

After a painful surgery on his stomach, Matisse was stuck in bed and could no longer paint. But cut paper let him keep creating, even while lying down. His friend Tériade, a book publisher, encouraged him to explore this new method.

Matisse looked back on his memories. He thought about Parisian music halls, the circus, trips to Tahiti, folktales, and myths. From these ideas, he made a series of 20 small models, or maquettes, using cut paper.","In the early 1940s, many decades into his artistic career, Henri Matisse (1869–1954) turned his attention to a new medium: cut paper.

He had become bedridden and unable to paint after a very painful abdominal surgery. In this relatively sedentary state, cut paper allowed him to continue making art. Encouraged by his friend Tériade (the pseudonym of Stratis Eleftheriades), a book publisher, Matisse deepened his exploration of this new technique. He drew from his memories of Parisian music halls, the circus, trips to Tahiti, folktales, and mythology. From these sources, he created a series of 20 cut-paper maquettes.","In the early 1940s, decades into his artistic career, Henri Matisse (1869–1954) turned his focus to a new technique: cutting and arranging paper. 

After a painful abdominal surgery left him bedridden and unable to paint, this method allowed him to keep creating while staying relatively still. Encouraged by his friend Tériade (the pen name of Stratis Eleftheriades), a book publisher, Matisse continued to explore this approach. He drew on his memories of Parisian music halls, the circus, trips to Tahiti, folktales, and mythology, and produced a series of 20 paper cutouts that served as models for future works."
CT0002,,Art Institute Chicago,,The United States,France,,,,WallText,"These vibrant original compositions were then faithfully reproduced using pochoir (stencil) and combined with an original text written by Matisse to form an unbound book, Jazz, that was published in 1947—when Matisse was 77 years old. Jazz caused an immediate international sensation and reinvigorated the aging artist, setting him on a new course of artistic discovery.",57,https://www.artic.edu/exhibitions/10557/matisse-s-jazz-rhythms-in-color,,,Henri Jazz,English,"These vibrant original compositions were then faithfully reproduced using pochoir (stencil) and combined with an original text written by Matisse to form an unbound book, Jazz, that was published in 1947—when Matisse was 77 years old. Jazz caused an immediate international sensation and reinvigorated the aging artist, setting him on a new course of artistic discovery.","These bright, original artworks were carefully copied using pochoir—a stencil method. They were paired with a new text written by Matisse. Together, they formed an unbound book called *Jazz*, published in 1947 when Matisse was 77 years old. *Jazz* caused an instant stir around the world. It gave the aging artist new energy and set him on a fresh path of artistic exploration.","These vibrant original compositions were faithfully reproduced using pochoir (stencil). They were combined with an original text written by Matisse. Together, they formed an unbound book titled *Jazz*, published in 1947—when Matisse was 77 years old. *Jazz* caused an immediate international sensation. It reinvigorated the aging artist and set him on a new path of artistic discovery.","These lively, original designs were carefully copied using a stencil-based printing technique called pochoir. They were paired with an original text written by Matisse to create an unbound book titled *Jazz*, published in 1947, when the artist was 77 years old. The book caused an immediate international stir and gave the aging artist a burst of creative energy, setting him on a new path of artistic exploration."
CT0003,,Art Institute Chicago,,The United States,France,,,,WallText,"Matisse’s extraordinary images of Jazz are not only captivating and provocative in their own right but also reflect a practice devoted to the exploration of color and line. Throughout the artist’s decades-long career, he pushed color from the purely visual to the nearly transcendental and progressively simplified his line to the most elemental. But until his cut-outs, his color and line existed separately, one modifying the other but never fully unified—at least not to Matisse’s own satisfaction.",77,https://www.artic.edu/exhibitions/10557/matisse-s-jazz-rhythms-in-color,,,Henri Jazz,English,"Matisse’s extraordinary images of Jazz are not only captivating and provocative in their own right but also reflect a practice devoted to the exploration of color and line. Throughout the artist’s decades-long career, he pushed color from the purely visual to the nearly transcendental and progressively simplified his line to the most elemental. But until his cut-outs, his color and line existed separately, one modifying the other but never fully unified—at least not to Matisse’s own satisfaction.","Matisse’s *Jazz* images are striking and thought-provoking. They also show his lifelong focus on color and line. Over many years, Matisse pushed color beyond what we see, making it feel almost spiritual. At the same time, he simplified his line drawings to their most basic form. But before his cut-outs, Matisse kept color and line separate. One would change the other, but they never fully came together—at least not in a way that satisfied him.","Matisse’s extraordinary images of *Jazz* are not only captivating and provocative in themselves. They also reflect a practice devoted to the exploration of color and line. Throughout his career, which spanned several decades, the artist pushed color from the purely visual toward the nearly transcendental. He also progressively simplified his line to its most elemental form. However, until his cut-outs, his color and line existed separately. One modified the other, but they were never fully unified—at least not to Matisse’s own satisfaction.","Matisse’s striking images in *Jazz* are not only captivating and thought-provoking on their own terms; they also reveal a lifelong artistic practice centered on the study of color and line. Over the course of his long career, Matisse moved color beyond what the eye simply sees, giving it an almost spiritual quality, while gradually reducing his line work to its most basic, essential form. However, until he created his cut-out works, his color and line remained separate—each influenced the other, but they never fully came together in a way that satisfied Matisse himself."
CT0004,,Art Institute Chicago,,The United States,France,,,,WallText,"This exhibition marks the first time Matisse’s Jazz will be shown in its entirety at the Art Institute; the museum acquired it in 1948. One of the most important livres d’artiste (artist books) of the 20th century, Jazz joins over 50 works from the museum’s renowned collection of paintings, sculpture, drawings, prints, illustrated books, and textiles to showcase the famed artist’s commitment across his 50-year career to continual innovation and the expressive power of color and line.",77,https://www.artic.edu/exhibitions/10557/matisse-s-jazz-rhythms-in-color,,,Henri Jazz,English,"This exhibition marks the first time Matisse’s Jazz will be shown in its entirety at the Art Institute; the museum acquired it in 1948. One of the most important livres d’artiste (artist books) of the 20th century, Jazz joins over 50 works from the museum’s renowned collection of paintings, sculpture, drawings, prints, illustrated books, and textiles to showcase the famed artist’s commitment across his 50-year career to continual innovation and the expressive power of color and line.","This exhibition is the first time Matisse’s *Jazz* will be shown in full at the Art Institute. The museum bought it in 1948. *Jazz* is one of the most important artist books of the 1900s. An artist book is a work of art made in the form of a book. The exhibition also includes over 50 other works from the museum’s collection. These works include paintings, sculptures, drawings, prints, illustrated books, and textiles. Together, they show how Matisse spent his 50-year career always trying new things. He focused on the power of color and line to express feelings and ideas.","This exhibition presents Matisse’s *Jazz* in its entirety for the first time at the Art Institute. The museum acquired the work in 1948. *Jazz* is one of the most important *livres d’artiste* (artist books) of the 20th century. It is shown together with more than 50 works from the museum’s renowned collection. These works include paintings, sculpture, drawings, prints, illustrated books, and textiles. Together, they demonstrate Matisse’s dedication, over his 50-year career, to constant innovation and the expressive power of color and line.","This exhibition marks the first time Matisse’s *Jazz* will be shown in its entirety at the Art Institute; the museum acquired it in 1948. One of the most important artist books—a type of work where an artist creates both the images and the overall design of the book—from the 20th century, *Jazz* joins over 50 works from the museum’s renowned collection of paintings, sculpture, drawings, prints, illustrated books, and textiles. Together, they showcase the famed artist’s lifelong commitment to constant experimentation and the expressive power of color and line throughout his 50-year career."
CT0005,,Art Institute Chicago,,The United States,Korea,,,,SectionText,"From 6th-century gilt bronze Buddhist sculpture through Joseon dynasty painting and white porcelain and contemporary paintings of the late 20th century, the works of art in this exhibition demonstrate the artistic legacy produced on the Korean peninsula over millennia.",39,https://www.artic.edu/exhibitions/10209/korean-national-treasures-2-000-years-of-art,,,,English,"From 6th-century gilt bronze Buddhist sculpture through Joseon dynasty painting and white porcelain and contemporary paintings of the late 20th century, the works of art in this exhibition demonstrate the artistic legacy produced on the Korean peninsula over millennia.","This exhibition shows art made on the Korean peninsula over more than a thousand years. You will see a gold Buddhist sculpture from the 500s. There are also paintings and white porcelain from the Joseon dynasty. The show ends with paintings from the late 1900s. Together, these works reveal Korea's long artistic legacy.","From gilt bronze Buddhist sculpture of the 6th century, to Joseon dynasty painting and white porcelain, to late 20th-century contemporary paintings, the works in this exhibition show the artistic legacy of the Korean peninsula over many centuries.","From sixth-century Buddhist sculptures covered in gold leaf, to paintings and white porcelain made during the Joseon dynasty (1392–1910), to paintings from the late twentieth century, the artworks in this exhibition show the artistic traditions that developed on the Korean peninsula over more than a thousand years."
CT0006,,Art Institute Chicago,,The United States,Korea,,,,ExhibitionText,"Once privately held, these artworks now belong to the Korean people thanks to a single groundbreaking gift from the family of Lee Kun-Hee, late chairman of Samsung Group. In 2021 the family donated over 23,000 works to the Korean government for public audiences to study and appreciate in perpetuity. Lee Kun-Hee and his father, Lee Byung-Chull, collected exceptional and storied objects from throughout Korean history as a means of preserving and celebrating the nation’s cultural heritage. This exhibition marks the first time the works are on public display. ",88,https://www.artic.edu/exhibitions/10209/korean-national-treasures-2-000-years-of-art,"Mar 7–Jul 5, 2026",,,English,"Once privately held, these artworks now belong to the Korean people thanks to a single groundbreaking gift from the family of Lee Kun-Hee, late chairman of Samsung Group. In 2021 the family donated over 23,000 works to the Korean government for public audiences to study and appreciate in perpetuity. Lee Kun-Hee and his father, Lee Byung-Chull, collected exceptional and storied objects from throughout Korean history as a means of preserving and celebrating the nation’s cultural heritage. This exhibition marks the first time the works are on public display. ","These artworks were once owned by one family. Now, they belong to the people of Korea. This change happened because of a single, generous gift from the family of Lee Kun-Hee, the late chairman of Samsung Group. In 2021, his family gave over 23,000 works to the Korean government. The goal was for the public to study and enjoy them forever. Lee Kun-Hee and his father, Lee Byung-Chull, collected rare and important objects from Korean history. They did this to preserve and celebrate the nation’s cultural heritage. This exhibition is the first time these works are on public display.","Once privately owned, these artworks now belong to the Korean people. This is the result of a single, transformative gift from the family of Lee Kun-Hee, the late chairman of Samsung Group. In 2021, the family donated more than 23,000 works to the Korean government. The purpose was to allow the public to study and appreciate them forever. Lee Kun-Hee and his father, Lee Byung-Chull, collected exceptional and historically significant objects from throughout Korean history. They did this as a way to preserve and celebrate the nation’s cultural heritage. This exhibition is the first time these works are shown to the public.","Once held in a private collection, these artworks now belong to the people of Korea, thanks to an extraordinary, one-time gift from the family of Lee Kun-Hee, the late chairman of Samsung Group. In 2021, the family donated more than 23,000 works to the Korean government, so that the public could study and enjoy them forever. Lee Kun-Hee and his father, Lee Byung-Chull, collected remarkable and historically significant objects from across Korean history, as a way to preserve and celebrate the nation’s cultural heritage. This exhibition is the first time these works have been shown to the public."
CT0007,,Art Institute Chicago,,The United States,Korea,,,,SectionText,"Among the 140 artworks on view—including modern and historical painting, ceramics, and objects made for Buddhist worship and scholarly study—22 are officially recognized as National Treasures or Treasures by the Korean government. These objects are recognized as remarkable examples of their type and distinguished for their exceptional historic, artistic, and academic value.",54,https://www.artic.edu/exhibitions/10209/korean-national-treasures-2-000-years-of-art,,,,English,"Among the 140 artworks on view—including modern and historical painting, ceramics, and objects made for Buddhist worship and scholarly study—22 are officially recognized as National Treasures or Treasures by the Korean government. These objects are recognized as remarkable examples of their type and distinguished for their exceptional historic, artistic, and academic value.","Of the 140 artworks on display, 22 are officially called National Treasures or Treasures by the Korean government. These pieces include modern and historical paintings, ceramics, and objects made for Buddhist worship or scholarly study. They are seen as outstanding examples of their kind. They stand out for their great historical, artistic, and academic importance.","Among the 140 artworks on display—which include modern and historical paintings, ceramics, and objects made for Buddhist worship and scholarly study—22 are officially designated as National Treasures or Treasures by the Korean government. These works are recognized as outstanding examples of their type. They are distinguished for their exceptional historical, artistic, and academic value.","Of the 140 artworks on display—ranging from modern and historical paintings to ceramics and objects created for Buddhist worship and scholarly study—22 have been officially designated as National Treasures or Treasures by the Korean government. This means they are considered outstanding examples of their kind, valued for their exceptional historical, artistic, and scholarly significance."
CT0008,,Art Institute Chicago,,The United States,Korea,,,,SectionText,"The largest Art Institute exhibition devoted to Korean art in four decades, Korean National Treasures: 2,000 Years of Art charts the ideas, values, and traditions that have shaped the country’s creative production, from the Three Kingdoms period (57 BCE–676 CE) through the 1900s, offering insights into these objects’ rich meanings across centuries.",52,https://www.artic.edu/exhibitions/10209/korean-national-treasures-2-000-years-of-art,,,,English,"The largest Art Institute exhibition devoted to Korean art in four decades, Korean National Treasures: 2,000 Years of Art charts the ideas, values, and traditions that have shaped the country’s creative production, from the Three Kingdoms period (57 BCE–676 CE) through the 1900s, offering insights into these objects’ rich meanings across centuries.","This exhibition is the largest show of Korean art at the Art Institute in 40 years. It is called *Korean National Treasures: 2,000 Years of Art*. The show explores the ideas, values, and traditions that shaped Korean art. It covers art from the Three Kingdoms period (57 BCE–676 CE) up to the 1900s. The objects in the show reveal their deep meanings across many centuries.","Korean National Treasures: 2,000 Years of Art is the largest exhibition at the Art Institute dedicated to Korean art in four decades. It traces the ideas, values, and traditions that have shaped Korea’s artistic production, from the Three Kingdoms period (57 BCE–676 CE) through the 1900s. The exhibition offers insights into the rich meanings of these objects across centuries.","The largest exhibition of Korean art at the Art Institute in forty years, *Korean National Treasures: 2,000 Years of Art*, traces the ideas, values, and traditions that have shaped the country’s artistic output—from the Three Kingdoms period (57 BCE–676 CE) through the 1900s. It offers a window into the deep and evolving meanings these objects have held over the centuries."
CT0009,,Art Institute Chicago,,The United States,India,,,,SectionText,"Epic and intricate, monumental and meticulous—the paintings of Kashmir-raised, London-based artist Raqib Shaw offer fantastical meditations on identity, transformation, and the redemptive power of beauty.",26,https://www.artic.edu/exhibitions/10569/raqib-shaw-paradise-lost,,,Raqib Shaw,English,"Epic and intricate, monumental and meticulous—the paintings of Kashmir-raised, London-based artist Raqib Shaw offer fantastical meditations on identity, transformation, and the redemptive power of beauty.","Raqib Shaw grew up in Kashmir and now lives in London. His paintings are huge and full of tiny, careful details. They explore big ideas about who we are, how we change, and how beauty can heal us.","Epic and intricate, monumental and meticulous—the paintings of Raqib Shaw, an artist raised in Kashmir and based in London, offer fantastical meditations on identity, transformation, and the redemptive power of beauty.","Monumental in scale and painstakingly detailed, the paintings of Raqib Shaw—who grew up in Kashmir and now lives in London—offer imaginative reflections on identity, change, and how beauty can heal or redeem."
CT0010,,Art Institute Chicago,,The United States,India,,,,ExhibitionText,"Born in Calcutta and raised in the verdant Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life, many of which were fractured by political upheaval. Forced to leave Kashmir as a teenager, he relocated first to New Delhi and later to London, where he studied at Central Saint Martins College of Art and Design. His work is influenced by a broad range of sources—Mughal and Persian miniatures, Renaissance altarpieces, Old Masters paintings, Japanese arts of the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology—and yet his visual vocabulary and technique are all his own. His signature method involves applying an acrylic liner on gesso to create a golden line almost like the leading of a stained glass window. He then applies automobile enamel paints with needle-fine syringes and manipulates those with a porcupine quill, often adding glittering inset stones and baubles that further enhance the magical and dreamlike quality of the depicted scenes. ",165,https://www.artic.edu/exhibitions/10569/raqib-shaw-paradise-lost,"Jun 7, 2025–Nov 15, 2026",,Raqib Shaw,English,"Born in Calcutta and raised in the verdant Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life, many of which were fractured by political upheaval. Forced to leave Kashmir as a teenager, he relocated first to New Delhi and later to London, where he studied at Central Saint Martins College of Art and Design. His work is influenced by a broad range of sources—Mughal and Persian miniatures, Renaissance altarpieces, Old Masters paintings, Japanese arts of the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology—and yet his visual vocabulary and technique are all his own. His signature method involves applying an acrylic liner on gesso to create a golden line almost like the leading of a stained glass window. He then applies automobile enamel paints with needle-fine syringes and manipulates those with a porcupine quill, often adding glittering inset stones and baubles that further enhance the magical and dreamlike quality of the depicted scenes. ","Born in Calcutta and raised in the green Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life. Many of those memories were broken apart by political conflict. Forced to leave Kashmir as a teenager, he moved first to New Delhi and later to London. There, he studied at Central Saint Martins College of Art and Design.

His work is influenced by many different sources—Mughal and Persian miniatures, Renaissance altarpieces, Old Masters paintings, Japanese arts from the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology. But his own style and technique are completely unique.

His signature method works like this: He uses an acrylic liner on gesso (a type of primer) to create a golden line, almost like the lead in a stained glass window. Then he applies car enamel paints with needle-thin syringes and moves the paint around with a porcupine quill. He often adds shiny inset stones and small decorations that make the scenes feel magical and dreamlike.","Born in Calcutta and raised in the verdant Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life. Many of these memories were fractured by political upheaval. Forced to leave Kashmir as a teenager, he relocated first to New Delhi and later to London. There, he studied at Central Saint Martins College of Art and Design. His work is influenced by a broad range of sources—Mughal and Persian miniatures, Renaissance altarpieces, Old Masters paintings, Japanese arts of the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology. Yet his visual vocabulary and technique are entirely his own. His signature method involves applying an acrylic liner on gesso to create a golden line, almost like the leading of a stained glass window. He then applies automobile enamel paints with needle-fine syringes and manipulates them with a porcupine quill. He often adds glittering inset stones and baubles, which further enhance the magical and dreamlike quality of the depicted scenes.","Born in Calcutta and raised in the lush Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life—many of which were disrupted by political turmoil. Forced to leave Kashmir as a teenager, he moved first to New Delhi and later to London, where he studied at Central Saint Martins College of Art and Design. His work is influenced by a wide range of sources: miniature paintings from the Mughal and Persian traditions, religious panel paintings from the Renaissance, works by European Old Masters, Japanese art from the Momoyama period, poetry from Kashmir and Urdu literature, and stories from Hindu and Western mythology. Yet his visual style and technique are entirely his own. His signature method involves using a fine acrylic applicator on a prepared surface of gesso (a type of primer) to create a golden line, similar to the metal strips that hold glass in place in stained glass windows. He then applies car enamel paint using extremely thin syringes and shapes the paint with a porcupine quill. He often adds small, glittering stones and decorative ornaments, which heighten the magical, dreamlike quality of the scenes he depicts."
