ID,CuratorialText,persona1_adapted,word_count_original,word_count_adapted,error
CT0001,"In the early 1940s, decades into his artistic career, Henri Matisse (1869–1954) turned his focus to a new medium: cut paper. 

He had become bedridden and unable to paint following an excruciating abdominal surgery, and cut paper allowed him to continue to create in his relatively sedentary state. Encouraged by his friend, the book publisher Tériade (the pseudonym of Stratis Eleftheriades), Matisse furthered his exploration of this new technique. He mined his memories of Parisian music halls, the circus, trips to Tahiti, folktales, and mythology, and produced a series of 20 cut-paper maquettes.","In the early 1940s, Henri Matisse (1869–1954) had been making art for decades. But then he had a serious surgery on his stomach. After that, he was stuck in bed and couldn't paint anymore.

So he tried something new: cutting shapes out of colored paper. This let him keep making art even while lying down. His friend Tériade, a book publisher, encouraged him to keep going with this new style.

Matisse looked back on his memories—Paris music halls, the circus, a trip to Tahiti, old folktales, and myths. From these ideas, he created 20 models made from cut paper.",93,99,
CT0002,"These vibrant original compositions were then faithfully reproduced using pochoir (stencil) and combined with an original text written by Matisse to form an unbound book, Jazz, that was published in 1947—when Matisse was 77 years old. Jazz caused an immediate international sensation and reinvigorated the aging artist, setting him on a new course of artistic discovery.","Matisse made these bright, colorful pictures using a special stencil technique called *pochoir*. He also wrote the words that go with them. Together, the pictures and text became a book called *Jazz*, published in 1947—when Matisse was 77 years old. *Jazz* was a huge hit around the world right away. It gave the older artist new energy and inspired him to try new things in his art.",56,67,
CT0003,"Matisse’s extraordinary images of Jazz are not only captivating and provocative in their own right but also reflect a practice devoted to the exploration of color and line. Throughout the artist’s decades-long career, he pushed color from the purely visual to the nearly transcendental and progressively simplified his line to the most elemental. But until his cut-outs, his color and line existed separately, one modifying the other but never fully unified—at least not to Matisse’s own satisfaction.","Matisse’s *Jazz* images are exciting and thought-provoking. They also show how much he loved experimenting with color and line. Over his long career, Matisse made color feel almost magical, not just something you see. He also made his lines simpler and simpler. But before he started making his cut-outs, his color and line didn’t work together perfectly. They affected each other, but never fully came together—at least not in a way that made Matisse happy.",77,75,
CT0004,"This exhibition marks the first time Matisse’s Jazz will be shown in its entirety at the Art Institute; the museum acquired it in 1948. One of the most important livres d’artiste (artist books) of the 20th century, Jazz joins over 50 works from the museum’s renowned collection of paintings, sculpture, drawings, prints, illustrated books, and textiles to showcase the famed artist’s commitment across his 50-year career to continual innovation and the expressive power of color and line.","This is the first time the Art Institute has shown all of Matisse’s *Jazz* at once. The museum got it back in 1948. *Jazz* is one of the most famous artist books of the 1900s. It’s joined by more than 50 other works from the museum’s collection—paintings, sculptures, drawings, prints, illustrated books, and fabrics. Together, they show how Matisse spent his 50-year career always trying new things and using color and line in powerful ways.",77,75,
CT0005,"From 6th-century gilt bronze Buddhist sculpture through Joseon dynasty painting and white porcelain and contemporary paintings of the late 20th century, the works of art in this exhibition demonstrate the artistic legacy produced on the Korean peninsula over millennia.","This exhibition shows art made on the Korean peninsula over more than 1,500 years. You'll see a shiny gold Buddhist statue from the 500s, paintings and white porcelain from the Joseon dynasty, and modern paintings from the late 1900s. Together, these works tell the story of Korea's long artistic tradition.",39,50,
CT0006,"Once privately held, these artworks now belong to the Korean people thanks to a single groundbreaking gift from the family of Lee Kun-Hee, late chairman of Samsung Group. In 2021 the family donated over 23,000 works to the Korean government for public audiences to study and appreciate in perpetuity. Lee Kun-Hee and his father, Lee Byung-Chull, collected exceptional and storied objects from throughout Korean history as a means of preserving and celebrating the nation’s cultural heritage. This exhibition marks the first time the works are on public display. ","These artworks used to belong to one family. Now, they belong to all the people of Korea. That’s thanks to a huge, one-of-a-kind gift from the family of Lee Kun-Hee, the late chairman of Samsung Group. In 2021, his family gave more than 23,000 works of art to the Korean government. Now, everyone can study and enjoy them forever.

Lee Kun-Hee and his father, Lee Byung-Chull, collected amazing and important objects from all across Korean history. They wanted to save and celebrate their country’s culture. This exhibition is the very first time these works have been shown to the public.",88,100,
CT0007,"Among the 140 artworks on view—including modern and historical painting, ceramics, and objects made for Buddhist worship and scholarly study—22 are officially recognized as National Treasures or Treasures by the Korean government. These objects are recognized as remarkable examples of their type and distinguished for their exceptional historic, artistic, and academic value.","Out of the 140 artworks on display, 22 are officially called **National Treasures** or **Treasures** by the Korean government. These special pieces are considered some of the best examples of their kind—whether they are paintings, ceramics, or objects used for Buddhist worship and study. They stand out because of their amazing history, beauty, and importance to learning.",52,57,
CT0008,"The largest Art Institute exhibition devoted to Korean art in four decades, Korean National Treasures: 2,000 Years of Art charts the ideas, values, and traditions that have shaped the country’s creative production, from the Three Kingdoms period (57 BCE–676 CE) through the 1900s, offering insights into these objects’ rich meanings across centuries.","This exhibition is the biggest show of Korean art at the Art Institute in 40 years. It’s called *Korean National Treasures: 2,000 Years of Art*. The show explores the ideas, values, and traditions that have shaped Korean art over time. You’ll see objects from the Three Kingdoms period (57 BCE–676 CE) all the way to the 1900s. Each piece tells a story about what it meant to people back then—and what it can mean to us today.",52,77,
CT0009,"Epic and intricate, monumental and meticulous—the paintings of Kashmir-raised, London-based artist Raqib Shaw offer fantastical meditations on identity, transformation, and the redemptive power of beauty.","Raqib Shaw grew up in Kashmir and now lives in London. His paintings are huge and full of tiny, careful details. They show dreamlike worlds where he thinks about big ideas like who we are, how people change, and how beauty can make things better.",25,45,
CT0010,"Born in Calcutta and raised in the verdant Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life, many of which were fractured by political upheaval. Forced to leave Kashmir as a teenager, he relocated first to New Delhi and later to London, where he studied at Central Saint Martins College of Art and Design. His work is influenced by a broad range of sources—Mughal and Persian miniatures, Renaissance altarpieces, Old Masters paintings, Japanese arts of the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology—and yet his visual vocabulary and technique are all his own. His signature method involves applying an acrylic liner on gesso to create a golden line almost like the leading of a stained glass window. He then applies automobile enamel paints with needle-fine syringes and manipulates those with a porcupine quill, often adding glittering inset stones and baubles that further enhance the magical and dreamlike quality of the depicted scenes. ","Shaw was born in Calcutta and grew up in the Himalayan mountains of Kashmir, a place full of green landscapes. But his early life was broken apart by political conflict. When he was a teenager, he had to leave Kashmir. He moved first to New Delhi, then to London, where he studied art at Central Saint Martins College.

His art is inspired by many different styles—like paintings from Mughal and Persian cultures, religious art from the Renaissance, old master paintings, Japanese art from the Momoyama period, poetry from Kashmir and Urdu, and stories from Hindu and Western myths. Even with all these influences, his own style is completely unique.

Shaw has a special way of making his art. He starts by drawing a golden line on a surface using a material called acrylic liner on gesso. This line looks like the metal that holds stained glass windows together. Then he uses tiny syringes to apply car paint, and he moves the paint around with a porcupine quill. He often adds shiny stones and jewels to make the scenes look magical and dreamlike.",163,182,
