ID,CuratorialText,persona1_adapted,word_count_original,word_count_adapted,error
CT0001,"In the early 1940s, decades into his artistic career, Henri Matisse (1869–1954) turned his focus to a new medium: cut paper. 

He had become bedridden and unable to paint following an excruciating abdominal surgery, and cut paper allowed him to continue to create in his relatively sedentary state. Encouraged by his friend, the book publisher Tériade (the pseudonym of Stratis Eleftheriades), Matisse furthered his exploration of this new technique. He mined his memories of Parisian music halls, the circus, trips to Tahiti, folktales, and mythology, and produced a series of 20 cut-paper maquettes.","In the early 1940s, Henri Matisse (1869–1954) was already a well-known artist. But after decades of painting, he turned to a new way of making art: cut paper.

Matisse had a serious surgery on his stomach. After that, he was stuck in bed and could no longer paint. So he began cutting shapes out of paper. This let him keep making art even while lying down.

His friend Tériade, a book publisher, encouraged him to keep trying this new method. Matisse looked back on his memories—Paris music halls, the circus, trips to Tahiti, folktales, and myths. From these ideas, he created a set of 20 small models, or maquettes, made from cut paper.",93,113,
CT0002,"These vibrant original compositions were then faithfully reproduced using pochoir (stencil) and combined with an original text written by Matisse to form an unbound book, Jazz, that was published in 1947—when Matisse was 77 years old. Jazz caused an immediate international sensation and reinvigorated the aging artist, setting him on a new course of artistic discovery.","Matisse created these bright, original designs. He used a method called pochoir, which is a type of stencil printing, to make exact copies. He then paired them with his own writing to form a book called *Jazz*. The book was published in 1947, when Matisse was 77 years old. *Jazz* caused a huge stir around the world. It also gave the aging artist new energy and set him on a fresh path of artistic discovery.",56,75,
CT0003,"Matisse’s extraordinary images of Jazz are not only captivating and provocative in their own right but also reflect a practice devoted to the exploration of color and line. Throughout the artist’s decades-long career, he pushed color from the purely visual to the nearly transcendental and progressively simplified his line to the most elemental. But until his cut-outs, his color and line existed separately, one modifying the other but never fully unified—at least not to Matisse’s own satisfaction.","Matisse’s *Jazz* images are striking and thought-provoking. They also show his lifelong focus on color and line. Over many decades, Matisse pushed color beyond just what we see, making it feel almost spiritual. At the same time, he simplified his line drawings to their most basic form. But before his cut-outs, color and line stayed separate. Each one changed the other, but they never fully came together—at least not in a way that satisfied Matisse.",77,75,
CT0004,"This exhibition marks the first time Matisse’s Jazz will be shown in its entirety at the Art Institute; the museum acquired it in 1948. One of the most important livres d’artiste (artist books) of the 20th century, Jazz joins over 50 works from the museum’s renowned collection of paintings, sculpture, drawings, prints, illustrated books, and textiles to showcase the famed artist’s commitment across his 50-year career to continual innovation and the expressive power of color and line.","This exhibition is the first time Matisse’s *Jazz* will be shown in full at the Art Institute. The museum bought it in 1948. *Jazz* is one of the most important artist books of the 1900s. An artist book is a work of art made in the form of a book. This show also includes over 50 other works from the museum’s collection. These works include paintings, sculptures, drawings, prints, illustrated books, and textiles. Together, they show how Matisse spent his 50-year career always trying new things. He focused on the strong power of color and line.",77,96,
CT0005,"From 6th-century gilt bronze Buddhist sculpture through Joseon dynasty painting and white porcelain and contemporary paintings of the late 20th century, the works of art in this exhibition demonstrate the artistic legacy produced on the Korean peninsula over millennia.","This exhibition shows art made on the Korean peninsula over many centuries. You will see a Buddhist sculpture in gold from the 500s. There are also paintings and white porcelain from the Joseon dynasty. The collection includes modern paintings from the late 1900s. Together, these works reveal Korea's long artistic legacy.",39,51,
CT0006,"Once privately held, these artworks now belong to the Korean people thanks to a single groundbreaking gift from the family of Lee Kun-Hee, late chairman of Samsung Group. In 2021 the family donated over 23,000 works to the Korean government for public audiences to study and appreciate in perpetuity. Lee Kun-Hee and his father, Lee Byung-Chull, collected exceptional and storied objects from throughout Korean history as a means of preserving and celebrating the nation’s cultural heritage. This exhibition marks the first time the works are on public display. ","These artworks were once owned by one family. Now, they belong to the people of Korea. This change happened because of a very generous gift from the family of Lee Kun-Hee, the late chairman of Samsung Group. In 2021, the family gave over 23,000 artworks to the Korean government. The goal was for the public to study and enjoy them forever. Lee Kun-Hee and his father, Lee Byung-Chull, collected rare and important objects from Korean history. They did this to protect and celebrate the nation’s cultural heritage. This exhibition is the first time these works are shown to the public.",88,100,
CT0007,"Among the 140 artworks on view—including modern and historical painting, ceramics, and objects made for Buddhist worship and scholarly study—22 are officially recognized as National Treasures or Treasures by the Korean government. These objects are recognized as remarkable examples of their type and distinguished for their exceptional historic, artistic, and academic value.","Of the 140 artworks on display, 22 are officially called National Treasures or Treasures by the Korean government. These pieces include modern and historical paintings, ceramics, and objects made for Buddhist worship and scholarly study. They are seen as outstanding examples of their kind. They are also valued for their important history, art, and learning.",52,55,
CT0008,"The largest Art Institute exhibition devoted to Korean art in four decades, Korean National Treasures: 2,000 Years of Art charts the ideas, values, and traditions that have shaped the country’s creative production, from the Three Kingdoms period (57 BCE–676 CE) through the 1900s, offering insights into these objects’ rich meanings across centuries.","This exhibition is the largest show of Korean art at the Art Institute in 40 years. It is called *Korean National Treasures: 2,000 Years of Art*. The show explores the ideas, values, and traditions that have shaped Korean art. The artworks come from the Three Kingdoms period (57 BCE–676 CE) all the way to the 1900s. Together, they reveal the rich meanings these objects have held for centuries.",52,68,
CT0009,"Epic and intricate, monumental and meticulous—the paintings of Kashmir-raised, London-based artist Raqib Shaw offer fantastical meditations on identity, transformation, and the redemptive power of beauty.","Raqib Shaw grew up in Kashmir and now lives in London. His paintings are huge and full of tiny, careful details. They explore big ideas about who we are, how people change, and how beauty can help heal us.",25,39,
CT0010,"Born in Calcutta and raised in the verdant Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life, many of which were fractured by political upheaval. Forced to leave Kashmir as a teenager, he relocated first to New Delhi and later to London, where he studied at Central Saint Martins College of Art and Design. His work is influenced by a broad range of sources—Mughal and Persian miniatures, Renaissance altarpieces, Old Masters paintings, Japanese arts of the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology—and yet his visual vocabulary and technique are all his own. His signature method involves applying an acrylic liner on gesso to create a golden line almost like the leading of a stained glass window. He then applies automobile enamel paints with needle-fine syringes and manipulates those with a porcupine quill, often adding glittering inset stones and baubles that further enhance the magical and dreamlike quality of the depicted scenes. ","Born in Calcutta and raised in the Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life. Many of those memories were broken by political conflict. Forced to leave Kashmir as a teenager, he moved first to New Delhi and later to London. There, he studied at Central Saint Martins College of Art and Design.

His work is influenced by many different sources. These include Mughal and Persian miniatures (small, detailed paintings), Renaissance altarpieces (religious artworks placed behind altars), Old Masters paintings (famous European artists from the past), Japanese arts from the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology. Even so, his visual style and technique are entirely his own.

His signature method works like this: He uses an acrylic liner on a surface called gesso to create a golden line. This line looks like the leading in a stained glass window. Then he applies car enamel paints with needle-fine syringes. He moves the paint around with a porcupine quill. Often, he adds glittering stones and small decorations. These details make the scenes feel magical and dreamlike.",163,187,
CT0011,"At the Art Institute, Shaw debuts his more-than 100-feet-wide, 21-panel Paradise Lost (2009–25), the artist’s most ambitious and personal project to date. This magnificent allegorical painting takes viewers on a spellbinding journey, from the nocturnal solitude of the artist’s childhood in Kashmir to the frenzied daylight of the art world and the West to finally a fragile, renewed dawn. Each panel is dense with symbolism: mythical beasts, anthropomorphic hybrids, collapsing kingdoms, and natural beauty in various states of transformation. Throughout, the work is dotted with images of the artist, sometimes as a humanoid creature with different animal heads, at another time as a monkey looking with awe at the gleaming edifices and the wealth of the West, and sometimes unambiguously in full human form seated on a bed of saffron under a blossoming cherry tree, lost deep in his thoughts","At the Art Institute, Shaw shows his biggest and most personal project yet: *Paradise Lost* (2009–25). It is over 100 feet wide and made of 21 panels. This large, symbolic painting takes viewers on a journey. It starts in the quiet night of the artist’s childhood in Kashmir. Then it moves to the busy, bright day of the art world and the West. Finally, it ends with a fragile, new dawn.

Each panel is full of symbols. You can see mythical beasts, creatures that are part human and part animal, falling kingdoms, and natural beauty changing in different ways. Throughout the work, the artist appears many times. Sometimes he is a human-like creature with different animal heads. Other times he is a monkey staring in wonder at the shiny buildings and wealth of the West. And sometimes he is clearly in full human form, sitting on a bed of saffron under a blooming cherry tree, lost in his thoughts.",140,159,
CT0012,"The work is not a direct retelling of Milton’s 17th-century poem Paradise Lost, but rather a reflection on the many paradises lost across a lifetime: childhood innocence, creative freedom, mental tranquility, cultural belonging. “This is not just my story,” Shaw explained. “It is the story of each of us, and the story of our times.”","This artwork doesn't retell John Milton's 17th-century poem *Paradise Lost* directly. Instead, it reflects on the many ""paradises"" we lose throughout life. These include childhood innocence, creative freedom, mental peace, and a sense of cultural belonging. ""This is not just my story,"" Shaw explained. ""It is the story of each of us, and the story of our times.""",55,58,
