ID,CuratorialText,persona3_adapted,word_count_original,word_count_adapted,error
CT0001,"In the early 1940s, decades into his artistic career, Henri Matisse (1869–1954) turned his focus to a new medium: cut paper. 

He had become bedridden and unable to paint following an excruciating abdominal surgery, and cut paper allowed him to continue to create in his relatively sedentary state. Encouraged by his friend, the book publisher Tériade (the pseudonym of Stratis Eleftheriades), Matisse furthered his exploration of this new technique. He mined his memories of Parisian music halls, the circus, trips to Tahiti, folktales, and mythology, and produced a series of 20 cut-paper maquettes.","In the early 1940s, many years into his artistic career, Henri Matisse (1869–1954) began working in a new way: cutting and arranging paper.

After a painful abdominal surgery left him confined to bed and unable to paint, Matisse turned to cut paper as a way to keep making art while staying relatively still. Encouraged by his friend Tériade (the pen name of Stratis Eleftheriades), a book publisher, Matisse continued to develop this technique. He drew on his memories of Parisian music halls, the circus, trips to Tahiti, folktales, and mythology, and created a series of 20 small-scale models made from cut paper.",93,102,
CT0002,"These vibrant original compositions were then faithfully reproduced using pochoir (stencil) and combined with an original text written by Matisse to form an unbound book, Jazz, that was published in 1947—when Matisse was 77 years old. Jazz caused an immediate international sensation and reinvigorated the aging artist, setting him on a new course of artistic discovery.","These lively, original designs were carefully copied using a stencil-based printing technique called pochoir. They were paired with an original text written by Matisse to create an unbound book titled *Jazz*, published in 1947, when the artist was 77 years old. The book caused an immediate international stir and gave the aging artist a burst of creative energy, setting him on a new path of artistic exploration.",56,67,
CT0003,"Matisse’s extraordinary images of Jazz are not only captivating and provocative in their own right but also reflect a practice devoted to the exploration of color and line. Throughout the artist’s decades-long career, he pushed color from the purely visual to the nearly transcendental and progressively simplified his line to the most elemental. But until his cut-outs, his color and line existed separately, one modifying the other but never fully unified—at least not to Matisse’s own satisfaction.","Matisse’s striking images in *Jazz* are not only captivating and thought-provoking on their own, but they also reveal a lifelong artistic practice focused on the study of color and line. Over the course of his long career, Matisse moved color beyond simply what we see, toward something almost spiritual, while gradually simplifying his line work to its most basic form. However, before he created his cut-outs, color and line remained separate elements in his art—each one influencing the other, but never fully coming together in a way that satisfied Matisse himself.",77,91,
CT0004,"This exhibition marks the first time Matisse’s Jazz will be shown in its entirety at the Art Institute; the museum acquired it in 1948. One of the most important livres d’artiste (artist books) of the 20th century, Jazz joins over 50 works from the museum’s renowned collection of paintings, sculpture, drawings, prints, illustrated books, and textiles to showcase the famed artist’s commitment across his 50-year career to continual innovation and the expressive power of color and line.","This exhibition marks the first time Matisse’s *Jazz* will be shown in its entirety at the Art Institute; the museum acquired it in 1948. One of the most important artist books (a type of work where an artist creates both the images and the overall design of the book) of the 20th century, *Jazz* joins over 50 works from the museum’s renowned collection of paintings, sculpture, drawings, prints, illustrated books, and textiles. Together, they highlight the famed artist’s lifelong dedication—over a 50-year career—to constant experimentation and the emotional impact of color and line.",77,93,
CT0005,"From 6th-century gilt bronze Buddhist sculpture through Joseon dynasty painting and white porcelain and contemporary paintings of the late 20th century, the works of art in this exhibition demonstrate the artistic legacy produced on the Korean peninsula over millennia.","From a 6th-century Buddhist sculpture covered in gold leaf, to paintings and white porcelain from the Joseon dynasty, to late 20th-century contemporary paintings, the artworks in this exhibition showcase the artistic heritage created on the Korean peninsula over thousands of years.",39,41,
CT0006,"Once privately held, these artworks now belong to the Korean people thanks to a single groundbreaking gift from the family of Lee Kun-Hee, late chairman of Samsung Group. In 2021 the family donated over 23,000 works to the Korean government for public audiences to study and appreciate in perpetuity. Lee Kun-Hee and his father, Lee Byung-Chull, collected exceptional and storied objects from throughout Korean history as a means of preserving and celebrating the nation’s cultural heritage. This exhibition marks the first time the works are on public display. ","Once held in a private collection, these artworks now belong to the Korean people, thanks to an extraordinary gift from the family of Lee Kun-Hee, the late chairman of Samsung Group. In 2021, the family donated more than 23,000 works to the Korean government, so that the public could study and enjoy them forever. Lee Kun-Hee and his father, Lee Byung-Chull, collected remarkable and historically significant objects from across Korean history, as a way to preserve and celebrate the nation’s cultural heritage. This exhibition is the first time these works have been shown to the public.",88,96,
CT0007,"Among the 140 artworks on view—including modern and historical painting, ceramics, and objects made for Buddhist worship and scholarly study—22 are officially recognized as National Treasures or Treasures by the Korean government. These objects are recognized as remarkable examples of their type and distinguished for their exceptional historic, artistic, and academic value.","Among the 140 artworks on display—ranging from modern and historical paintings to ceramics and objects created for Buddhist worship and scholarly study—22 have been officially designated as National Treasures or Treasures by the Korean government. This designation means these pieces are considered outstanding examples of their kind, notable for their exceptional historical, artistic, and scholarly importance.",52,56,
CT0008,"The largest Art Institute exhibition devoted to Korean art in four decades, Korean National Treasures: 2,000 Years of Art charts the ideas, values, and traditions that have shaped the country’s creative production, from the Three Kingdoms period (57 BCE–676 CE) through the 1900s, offering insights into these objects’ rich meanings across centuries.","The largest exhibition of Korean art at the Art Institute in forty years, *Korean National Treasures: 2,000 Years of Art*, traces the ideas, values, and traditions that have shaped the country's artistic output—from the Three Kingdoms period (57 BCE–676 CE) through the 1900s. It offers a window into the deep and evolving meanings these objects have held over the centuries.",52,60,
CT0009,"Epic and intricate, monumental and meticulous—the paintings of Kashmir-raised, London-based artist Raqib Shaw offer fantastical meditations on identity, transformation, and the redemptive power of beauty.","Monumental in scale and painstakingly detailed, the paintings of Raqib Shaw—an artist raised in Kashmir and now based in London—offer imaginative reflections on identity, change, and how beauty can heal or transform us.",25,33,
CT0010,"Born in Calcutta and raised in the verdant Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life, many of which were fractured by political upheaval. Forced to leave Kashmir as a teenager, he relocated first to New Delhi and later to London, where he studied at Central Saint Martins College of Art and Design. His work is influenced by a broad range of sources—Mughal and Persian miniatures, Renaissance altarpieces, Old Masters paintings, Japanese arts of the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology—and yet his visual vocabulary and technique are all his own. His signature method involves applying an acrylic liner on gesso to create a golden line almost like the leading of a stained glass window. He then applies automobile enamel paints with needle-fine syringes and manipulates those with a porcupine quill, often adding glittering inset stones and baubles that further enhance the magical and dreamlike quality of the depicted scenes. ","Born in Calcutta and raised in the lush Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life—many of which were disrupted by political turmoil. Forced to leave Kashmir as a teenager, he moved first to New Delhi and later to London, where he studied at Central Saint Martins College of Art and Design. His work is influenced by a wide range of sources: paintings from the Mughal and Persian courts, religious altarpieces from the Renaissance, works by European masters from earlier centuries, Japanese art from the Momoyama period, Kashmiri and Urdu poetry, and stories from Hindu and Western mythology. Yet his own visual style and techniques are entirely original. His signature method involves using a fine acrylic applicator on a prepared surface (called gesso) to create a golden line, similar to the metal strips that hold stained glass together. He then applies car paint using needle-thin syringes and shapes it with a porcupine quill, often adding small sparkling stones and decorative ornaments that heighten the dreamlike, enchanted quality of the scenes he depicts.",163,180,
