ID,CuratorialText,persona3_adapted,word_count_original,word_count_adapted,error
CT0001,"In the early 1940s, decades into his artistic career, Henri Matisse (1869–1954) turned his focus to a new medium: cut paper. 

He had become bedridden and unable to paint following an excruciating abdominal surgery, and cut paper allowed him to continue to create in his relatively sedentary state. Encouraged by his friend, the book publisher Tériade (the pseudonym of Stratis Eleftheriades), Matisse furthered his exploration of this new technique. He mined his memories of Parisian music halls, the circus, trips to Tahiti, folktales, and mythology, and produced a series of 20 cut-paper maquettes.","In the early 1940s, after decades of working as an artist, Henri Matisse (1869–1954) began focusing on a new type of art: cut paper.

Following a painful abdominal surgery that left him confined to bed and unable to paint, Matisse turned to cutting shapes out of colored paper as a way to keep making art while staying relatively still. Encouraged by his friend Tériade (the pen name of Stratis Eleftheriades), a book publisher, Matisse pushed further into this new approach. He drew on memories of Parisian music halls, the circus, trips to Tahiti, folktales, and mythology, and created a series of 20 cut-paper models, or maquettes, which served as designs for a book.",93,113,
CT0002,"These vibrant original compositions were then faithfully reproduced using pochoir (stencil) and combined with an original text written by Matisse to form an unbound book, Jazz, that was published in 1947—when Matisse was 77 years old. Jazz caused an immediate international sensation and reinvigorated the aging artist, setting him on a new course of artistic discovery.","These lively, original designs were carefully recreated using pochoir—a technique that involves applying color through stencils—and paired with an original text written by Matisse to create an unbound book titled *Jazz*, published in 1947, when Matisse was 77 years old. *Jazz* caused an immediate stir around the world and revitalized the aging artist, setting him on a new path of creative exploration.",56,62,
CT0003,"Matisse’s extraordinary images of Jazz are not only captivating and provocative in their own right but also reflect a practice devoted to the exploration of color and line. Throughout the artist’s decades-long career, he pushed color from the purely visual to the nearly transcendental and progressively simplified his line to the most elemental. But until his cut-outs, his color and line existed separately, one modifying the other but never fully unified—at least not to Matisse’s own satisfaction.","Matisse’s remarkable images in *Jazz* are not only striking and thought-provoking in their own right but also reveal a lifelong commitment to experimenting with color and line. Over the course of his decades-long career, he moved color beyond what is simply seen toward something almost spiritual, while gradually reducing his line work to its most basic form. However, until he began making his cut-outs, color and line remained separate in his art—each influencing the other but never fully coming together, at least not in a way that satisfied Matisse himself.",77,90,
CT0004,"This exhibition marks the first time Matisse’s Jazz will be shown in its entirety at the Art Institute; the museum acquired it in 1948. One of the most important livres d’artiste (artist books) of the 20th century, Jazz joins over 50 works from the museum’s renowned collection of paintings, sculpture, drawings, prints, illustrated books, and textiles to showcase the famed artist’s commitment across his 50-year career to continual innovation and the expressive power of color and line.","This exhibition marks the first time Matisse’s *Jazz* will be shown in its entirety at the Art Institute; the museum acquired it in 1948. One of the most important artist books (a type of book created as a work of art, often with original prints) of the 20th century, *Jazz* joins over 50 works from the museum’s renowned collection of paintings, sculpture, drawings, prints, illustrated books, and textiles. Together, they highlight the famed artist’s lifelong commitment—over a 50-year career—to constant innovation and the expressive power of color and line.",77,89,
CT0005,"From 6th-century gilt bronze Buddhist sculpture through Joseon dynasty painting and white porcelain and contemporary paintings of the late 20th century, the works of art in this exhibition demonstrate the artistic legacy produced on the Korean peninsula over millennia.","From 6th-century Buddhist sculptures covered in gold leaf, to paintings and pure white porcelain from the Joseon dynasty, to artworks from the late 20th century, the pieces in this exhibition reveal the artistic traditions that have flourished on the Korean peninsula for over a thousand years.",39,46,
CT0006,"Once privately held, these artworks now belong to the Korean people thanks to a single groundbreaking gift from the family of Lee Kun-Hee, late chairman of Samsung Group. In 2021 the family donated over 23,000 works to the Korean government for public audiences to study and appreciate in perpetuity. Lee Kun-Hee and his father, Lee Byung-Chull, collected exceptional and storied objects from throughout Korean history as a means of preserving and celebrating the nation’s cultural heritage. This exhibition marks the first time the works are on public display. ","Once held in a private collection, these artworks now belong to the people of Korea, thanks to a single, extraordinary donation from the family of Lee Kun-Hee, the late chairman of Samsung Group. In 2021, the family gave over 23,000 works to the Korean government so that the public could study and appreciate them forever. Lee Kun-Hee and his father, Lee Byung-Chull, collected exceptional and historically significant objects from across Korean history, as a way to preserve and celebrate the nation’s cultural heritage. This exhibition marks the first time these works have been shown to the public.",88,97,
CT0007,"Among the 140 artworks on view—including modern and historical painting, ceramics, and objects made for Buddhist worship and scholarly study—22 are officially recognized as National Treasures or Treasures by the Korean government. These objects are recognized as remarkable examples of their type and distinguished for their exceptional historic, artistic, and academic value.","Of the 140 artworks displayed—spanning modern and historical paintings, ceramics, and objects created for Buddhist rituals and scholarly pursuits—22 are officially designated as National Treasures or Treasures by the Korean government. These pieces are acknowledged as outstanding examples of their kind and are noted for their exceptional historical, artistic, and scholarly significance.",52,52,
CT0008,"The largest Art Institute exhibition devoted to Korean art in four decades, Korean National Treasures: 2,000 Years of Art charts the ideas, values, and traditions that have shaped the country’s creative production, from the Three Kingdoms period (57 BCE–676 CE) through the 1900s, offering insights into these objects’ rich meanings across centuries.","The largest exhibition of Korean art at the Art Institute in forty years, *Korean National Treasures: 2,000 Years of Art*, traces the ideas, values, and traditions that have shaped the country’s artistic output—from the Three Kingdoms period (57 BCE–676 CE) through the 1900s. It offers a window into the deep and evolving meanings these objects have carried over the centuries.",52,60,
CT0009,"Epic and intricate, monumental and meticulous—the paintings of Kashmir-raised, London-based artist Raqib Shaw offer fantastical meditations on identity, transformation, and the redemptive power of beauty.","Epic and intricate, monumental and meticulous—the paintings of Kashmir-raised, London-based artist Raqib Shaw offer fantastical reflections on identity, change, and the healing power of beauty.",25,25,
CT0010,"Born in Calcutta and raised in the verdant Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life, many of which were fractured by political upheaval. Forced to leave Kashmir as a teenager, he relocated first to New Delhi and later to London, where he studied at Central Saint Martins College of Art and Design. His work is influenced by a broad range of sources—Mughal and Persian miniatures, Renaissance altarpieces, Old Masters paintings, Japanese arts of the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology—and yet his visual vocabulary and technique are all his own. His signature method involves applying an acrylic liner on gesso to create a golden line almost like the leading of a stained glass window. He then applies automobile enamel paints with needle-fine syringes and manipulates those with a porcupine quill, often adding glittering inset stones and baubles that further enhance the magical and dreamlike quality of the depicted scenes. ","Born in Calcutta and raised in the lush Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life—many of which were disrupted by political turmoil. Forced to leave Kashmir as a teenager, he moved first to New Delhi and later to London, where he studied at Central Saint Martins College of Art and Design. His work is influenced by a wide range of sources: miniature paintings from the Mughal and Persian empires, religious panel paintings from the Renaissance, works by European masters from earlier centuries, Japanese art from the Momoyama period, poetry from Kashmir and Urdu traditions, and myths from both Hindu and Western cultures. Yet his visual style and techniques are entirely his own. His signature method involves applying an acrylic liner onto a prepared surface of gesso (a white, chalky primer) to create a golden line, similar to the metal framework in a stained glass window. He then applies automobile enamel paints using syringes with needle-fine tips, manipulating the paint with a porcupine quill. He often adds glittering inset stones and small ornaments, which further enhance the magical, dreamlike quality of the scenes he depicts.",163,193,
