ID,CuratorialText,persona2_adapted,word_count_original,word_count_adapted,error
CT0001,"In the early 1940s, decades into his artistic career, Henri Matisse (1869–1954) turned his focus to a new medium: cut paper. 

He had become bedridden and unable to paint following an excruciating abdominal surgery, and cut paper allowed him to continue to create in his relatively sedentary state. Encouraged by his friend, the book publisher Tériade (the pseudonym of Stratis Eleftheriades), Matisse furthered his exploration of this new technique. He mined his memories of Parisian music halls, the circus, trips to Tahiti, folktales, and mythology, and produced a series of 20 cut-paper maquettes.","In the early 1940s, many years into his artistic career, Henri Matisse (1869–1954) began working with a new material: cut paper.

After a painful abdominal surgery, he was confined to bed and could no longer paint. However, working with cut paper allowed him to continue making art despite his limited physical activity. Encouraged by his friend, the publisher Tériade (the real name of Stratis Eleftheriades), Matisse deepened his exploration of this technique. He drew inspiration from his memories of Parisian music halls, the circus, his travels to Tahiti, folktales, and mythology. From these sources, he created a series of 20 models (maquettes) made from cut paper.",93,106,
CT0002,"These vibrant original compositions were then faithfully reproduced using pochoir (stencil) and combined with an original text written by Matisse to form an unbound book, Jazz, that was published in 1947—when Matisse was 77 years old. Jazz caused an immediate international sensation and reinvigorated the aging artist, setting him on a new course of artistic discovery.","These vivid original compositions were later reproduced with great accuracy using pochoir (stencil technique) and paired with an original text written by Matisse. Together, they formed an unbound book titled *Jazz*, published in 1947, when Matisse was 77 years old. *Jazz* created an immediate international stir and revitalized the aging artist, launching him into a new phase of artistic exploration.",56,60,
CT0003,"Matisse’s extraordinary images of Jazz are not only captivating and provocative in their own right but also reflect a practice devoted to the exploration of color and line. Throughout the artist’s decades-long career, he pushed color from the purely visual to the nearly transcendental and progressively simplified his line to the most elemental. But until his cut-outs, his color and line existed separately, one modifying the other but never fully unified—at least not to Matisse’s own satisfaction.","Matisse’s remarkable *Jazz* images are not only striking and thought-provoking in themselves; they also embody a lifelong practice focused on the study of color and line. Over the course of his long career, he moved color beyond the purely visual toward something almost transcendent, while gradually simplifying his line to its most essential form. However, before his cut-outs, color and line remained separate elements—each influencing the other, but never fully integrated, at least not to Matisse’s own satisfaction.",77,78,
CT0004,"This exhibition marks the first time Matisse’s Jazz will be shown in its entirety at the Art Institute; the museum acquired it in 1948. One of the most important livres d’artiste (artist books) of the 20th century, Jazz joins over 50 works from the museum’s renowned collection of paintings, sculpture, drawings, prints, illustrated books, and textiles to showcase the famed artist’s commitment across his 50-year career to continual innovation and the expressive power of color and line.","This exhibition presents Matisse’s *Jazz* in its complete form for the first time at the Art Institute. The museum acquired this work in 1948. *Jazz* is one of the most significant *livres d’artiste* (artist books) of the 20th century. It is displayed here alongside more than 50 works from the museum’s renowned collection—including paintings, sculptures, drawings, prints, illustrated books, and textiles. Together, these works highlight Matisse’s lifelong dedication, over a 50-year career, to constant innovation and the expressive power of color and line.",77,83,
CT0005,"From 6th-century gilt bronze Buddhist sculpture through Joseon dynasty painting and white porcelain and contemporary paintings of the late 20th century, the works of art in this exhibition demonstrate the artistic legacy produced on the Korean peninsula over millennia.","From 6th-century gilt bronze Buddhist sculpture to Joseon dynasty painting and white porcelain, and on to late 20th-century contemporary paintings, the works in this exhibition showcase the artistic legacy created on the Korean peninsula over thousands of years.",39,38,
CT0006,"Once privately held, these artworks now belong to the Korean people thanks to a single groundbreaking gift from the family of Lee Kun-Hee, late chairman of Samsung Group. In 2021 the family donated over 23,000 works to the Korean government for public audiences to study and appreciate in perpetuity. Lee Kun-Hee and his father, Lee Byung-Chull, collected exceptional and storied objects from throughout Korean history as a means of preserving and celebrating the nation’s cultural heritage. This exhibition marks the first time the works are on public display. ","Once held in a private collection, these artworks now belong to the people of Korea, thanks to an extraordinary single donation from the family of Lee Kun-Hee, the late chairman of Samsung Group. In 2021, the family gave more than 23,000 works to the Korean government, so that the public could study and enjoy them forever. Lee Kun-Hee and his father, Lee Byung-Chull, collected remarkable and historically significant objects from throughout Korean history. Their goal was to preserve and celebrate the nation’s cultural heritage. This exhibition is the first time these works are shown to the public.",88,97,
CT0007,"Among the 140 artworks on view—including modern and historical painting, ceramics, and objects made for Buddhist worship and scholarly study—22 are officially recognized as National Treasures or Treasures by the Korean government. These objects are recognized as remarkable examples of their type and distinguished for their exceptional historic, artistic, and academic value.","Among the 140 works on display—ranging from modern and historical paintings to ceramics and objects created for Buddhist worship and scholarly use—22 are officially designated as National Treasures or Treasures by the Korean government. These pieces are recognized as outstanding examples of their kind, noted for their exceptional historical, artistic, and academic significance.",52,53,
CT0008,"The largest Art Institute exhibition devoted to Korean art in four decades, Korean National Treasures: 2,000 Years of Art charts the ideas, values, and traditions that have shaped the country’s creative production, from the Three Kingdoms period (57 BCE–676 CE) through the 1900s, offering insights into these objects’ rich meanings across centuries.","The largest exhibition of Korean art at the Art Institute in forty years, *Korean National Treasures: 2,000 Years of Art*, traces the ideas, values, and traditions that have influenced Korea’s artistic output. Spanning from the Three Kingdoms period (57 BCE–676 CE) to the 1900s, the exhibition reveals the deep significance of these works across many centuries.",52,56,
CT0009,"Epic and intricate, monumental and meticulous—the paintings of Kashmir-raised, London-based artist Raqib Shaw offer fantastical meditations on identity, transformation, and the redemptive power of beauty.","**Adapted Text:**

The paintings of Raqib Shaw, an artist raised in Kashmir and now based in London, are both epic and intricate, monumental and meticulous. They offer fantastical reflections on identity, transformation, and the healing power of beauty.",25,38,
CT0010,"Born in Calcutta and raised in the verdant Himalayan mountains of Kashmir, Shaw draws deeply on the landscapes and memories of his early life, many of which were fractured by political upheaval. Forced to leave Kashmir as a teenager, he relocated first to New Delhi and later to London, where he studied at Central Saint Martins College of Art and Design. His work is influenced by a broad range of sources—Mughal and Persian miniatures, Renaissance altarpieces, Old Masters paintings, Japanese arts of the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology—and yet his visual vocabulary and technique are all his own. His signature method involves applying an acrylic liner on gesso to create a golden line almost like the leading of a stained glass window. He then applies automobile enamel paints with needle-fine syringes and manipulates those with a porcupine quill, often adding glittering inset stones and baubles that further enhance the magical and dreamlike quality of the depicted scenes. ","Born in Kolkata and raised in the lush Himalayan mountains of Kashmir, Shaw draws heavily on the landscapes and memories of his early life—many of which were disrupted by political conflict. Forced to leave Kashmir as a teenager, he moved first to New Delhi and later to London, where he studied at Central Saint Martins College of Art and Design. His work is influenced by a wide range of sources—Mughal and Persian miniatures, Renaissance altarpieces, Old Masters paintings, Japanese art from the Momoyama period, Kashmiri and Urdu poetry, and Hindu and Western mythology—yet his visual language and technique are entirely his own. His signature method involves applying an acrylic liner on gesso to create a golden line, similar to the lead in a stained glass window. He then applies automobile enamel paints using needle-fine syringes and manipulates them with a porcupine quill, often adding glittering inset stones and small ornaments that further enhance the magical, dreamlike quality of the scenes he depicts.",163,162,
