ID,CuratorialText,lexical_adapted,word_count_original,word_count_adapted,error
CT0126,"Similarly, the infusion of Western technology into Japan from the beginning of the Meiji era (1868–1912) spurred widespread visual documentation of the new developments. Railroad transportation, telegraphic communication, gas-fueled lighting, steam-powered river and ocean vessels, and new materials and designs for bridges and buildings were crammed into the Japanese landscape over two decades.",,53,0,Max retries exceeded
CT0127,"Contemporary artists are increasingly exploring the impact of climate change on the natural world and human communities, whether their goal is to raise awareness about the urgent need to address climate change, to highlight the social and political issues that are bound up in environmental degradation, or to envision alternative futures and inspire hope and action.",,56,0,Max retries exceeded
CT0128,"The creation of art itself impacts and is impacted by the environment. Stones and precious metals need to be mined. Wood needs to be harvested. Clay is extracted from the earth. Plants need to be gathered. Many works of art make use of animal products, such as parchment, feathers, horn, and ivory. Different production techniques require burning fuel sources for melting, firing, and glazing. The gathering of raw materials and their transformation into art objects is not without impact on the environment and has at times come at the expense of the exploitation of natural resources and people.",,98,0,Max retries exceeded
CT0129,"While recycling may seem like a very recent phenomenon, materials have long been reused in the creation of works of art, whether due to the scarcity of materials or to the value placed on an existing object. For example, since jade was such a prestigious medium and a valuable commodity in ancient China, broken or out-of-fashion articles were not discarded but were instead recycled to make new objects. This appears to be especially true in the late Shang dynasty (ca. 1250–1050 BCE). Archaeologists working at the late Shang capital of Anyang have found that, possibly due to the scarcity of resources at a time of high demand, earlier Stone Age (ca. 5000–1700 BCE) objects were being transformed into decorated jewelry and other items that held more interest and meaning to the Shang people. All three pendants shown here were made by cutting up a special kind of Neolithic square tube called a cong, which had lost its ritual significance by Shang times. It is noteworthy that the recycled cong used here represent different Stone Age cultures dispersed across north and south China.",,182,0,Max retries exceeded
CT0130,"Environmental conditions can significantly impact the preservation of works of art. Factors such as temperature, humidity, light, and pollution affect the chemical and physical properties of materials in different ways, causing damage and degradation to objects over time. On a larger scale, major environmental changes such as temperature shifts and more destructive weather patterns can threaten heritage sites around the world. Conservators play a pivotal role in safeguarding the objects in the museum’s collections. Read about conservation and scientific research initiatives at the National Museum of Asian Art. The Smithsonian Institution acknowledges climate change as the existential threat of our time. Learn more about the Smithsonian’s sustainability initiatives.",,108,0,Max retries exceeded
CT0131,"A color of vitality, passion, good fortune, and celebration, red has undeniable energy. It catches our eye and stirs our blood, forcing us to take notice. From glittering stones to ruddy earth, from insects to minerals, learn about various ways that people have made and understood red through examples drawn from across the museum’s collections.",,55,0,Max retries exceeded
CT0132,"Several metal compounds (that include iron, mercury, or lead) form commonly used historic colored pigments. These compounds may be found, mined, or produced. Iron compounds in earth pigments can have different colors. Red iron earths are readily found or can be manufactured and have been discovered in many applications, including pottery and paints.",,53,0,Max retries exceeded
CT0133,"Similarly, mercury-based pigments are made from grinding the red mineral cinnabar. Synthetic versions have long been produced and are referred to as vermilion. This deep red pigment, though toxic, was used in burial ceremonies, incorporated in lacquers, and adorns paintings and documents.",,42,0,Max retries exceeded
CT0134,"While red lead has a naturally forming mineral equivalent (minimum), it was manufactured far more commonly for use as a pigment. In general, lead compounds were heated under conditions favorable to produce the desired colored material and minimizing the formation of others.",,42,0,Max retries exceeded
CT0244,"The term “Japonisme” was first used by French critics in the early 1870s to describe the passion for Japanese art and culture they observed among their contemporaries. Japanese goods became increasingly available in Europe after the United States forced Japan to open its ports to international trade in 1853–54. The 1867 and 1878 Universal Exhibitions in Paris were pivotal events in Europeans’ exposure to the arts of Japan. Many Impressionist artists and their friends collected such works, including fans, acquiring them from newly established specialist dealers and shops. By the late 1880s, Japanese fans were imported in the millions to France, where they were used as women’s accessories and decoration.",,110,0,Max retries exceeded
CT0245,"European artists focused on the aesthetic value of these objects and borrowed from them liberally, often with little understanding of their original contexts. Today, some would call this cultural appropriation, though subtleties of interpretation varied. Certainly, the history of Japonisme is fraught, but the admiration for Japanese fans freed European artists to imagine new techniques and strategies for their art.",,60,0,Max retries exceeded
CT0246,"In the nineteenth century, Spain became a center of fan production at the same time that the country’s tourism industry emerged and its culture was increasingly exported throughout Europe. Reporting from his travels to the Iberian Peninsula in the early 1840s, the French writer Théophile Gautier claimed, “A woman without a fan is something I have not yet seen in this happy country.” The fan’s prominent role in Spanish flamenco dance is likely another reason it became inextricably linked with Spain in the nineteenth-century imagination, and remains so today. In Paris at mid-century, Spanish culture was in vogue, a phenomenon known as Hispagnolisme. Spanish-born empress Eugénie de Montijo, who married Napoleon III in 1853, exerted considerable influence on fashion and taste. Spanish dance troupes and musicians performed often in the capital, and avant-garde artists, such as Edouard Manet, took them up as subjects. For some artists who made fans in this period, it was Spain that they had foremost in mind. Manet and Degas both chose Spanish themes for their earliest fan designs.",,173,0,Max retries exceeded
